variable,unit,model,2020,2025,2030,2035
Battery Storage (4-Hour),Capital Costs (2020$/kW),Haiku-RFF,,1147.080898,929.624804,871.9853479
Battery Storage (4-Hour),Capital Costs (2020$/kW),IPM-NRDC,,1103.976822,894.6921166,839.2185893
Battery Storage (4-Hour),Capital Costs (2020$/kW),MARKAL-NETL,,,,
Battery Storage (4-Hour),Capital Costs (2020$/kW),NEMS-RHG,,1104.724771,895.3118545,839.4792473
Battery Storage (4-Hour),Capital Costs (2020$/kW),ReEDS-NREL,,1103.97745,894.6925991,839.2184996
Battery Storage (4-Hour),Capital Costs (2020$/kW),REGEN-EPRI,,1115.062706,532.8937062,499.5878495
Battery Storage (4-Hour),Capital Costs (2020$/kW),RIO-REPEAT,,715.65,482.45,432.19
Battery Storage (4-Hour),Capital Costs (2020$/kW),NREL 2022 ATB - Adv.,1727.234445,1005.200615,679.9886512,637.4893605
Battery Storage (4-Hour),Capital Costs (2020$/kW),NREL 2022 ATB - Mod.,1727.234445,1103.976822,894.6921166,839.2185893
Battery Storage (4-Hour),Capital Costs (2020$/kW),NREL 2022 ATB - Con.,1727.234445,1312.257623,1173.725763,1173.725763
Coal CCS Retrofit,Capital Costs (2020$/kW),EPS-EI,,,,
Coal CCS Retrofit,Capital Costs (2020$/kW),GCAM-CGS,,,,
Coal CCS Retrofit,Capital Costs (2020$/kW),Haiku-RFF,,4334.893099,3932.782929,3541.063203
Coal CCS Retrofit,Capital Costs (2020$/kW),IPM-NRDC,,,,
Coal CCS Retrofit,Capital Costs (2020$/kW),MARKAL-NETL,,,,
Coal CCS Retrofit,Capital Costs (2020$/kW),NEMS-RHG,,1901,1901,1901
Coal CCS Retrofit,Capital Costs (2020$/kW),ReEDS-NREL,,2395.067943,2395.067943,2395.067943
Coal CCS Retrofit,Capital Costs (2020$/kW),REGEN-EPRI,,,,
Coal CCS Retrofit,Capital Costs (2020$/kW),RIO-REPEAT,,2953.93,2953.93,2953.93
Coal CCS Retrofit,Capital Costs (2020$/kW),NREL 2022 ATB - Adv.,,,,
Coal CCS Retrofit,Capital Costs (2020$/kW),NREL 2022 ATB - Mod.,,,,
Coal CCS Retrofit,Capital Costs (2020$/kW),NREL 2022 ATB - Con.,,,,
