"model","scenario","year","variable","value","unit","region"
"EIA","Historic",1978,"Primary Energy|Coal",14.5234504684296,"EJ/yr","United States"
"EIA","Historic",1978,"Primary Energy|Gas",21.101539074741,"EJ/yr","United States"
"EIA","Historic",1978,"Primary Energy|Oil",40.0067884271442,"EJ/yr","United States"
"EIA","Historic",1979,"Primary Energy|Coal",15.8676032302818,"EJ/yr","United States"
"EIA","Historic",1979,"Primary Energy|Gas",21.8035911750239,"EJ/yr","United States"
"EIA","Historic",1979,"Primary Energy|Oil",39.1167000525841,"EJ/yr","United States"
"EIA","Historic",1980,"Primary Energy|Coal",16.2719248992904,"EJ/yr","United States"
"EIA","Historic",1980,"Primary Energy|Gas",21.3495394484021,"EJ/yr","United States"
"EIA","Historic",1980,"Primary Energy|Oil",36.0396159426917,"EJ/yr","United States"
"EIA","Historic",1981,"Primary Energy|Coal",16.7833284070048,"EJ/yr","United States"
"EIA","Historic",1981,"Primary Energy|Gas",20.8345149890015,"EJ/yr","United States"
"EIA","Historic",1981,"Primary Energy|Oil",33.6389956634887,"EJ/yr","United States"
"EIA","Historic",1982,"Primary Energy|Coal",16.1651237054414,"EJ/yr","United States"
"EIA","Historic",1982,"Primary Energy|Gas",19.366839453092,"EJ/yr","United States"
"EIA","Historic",1982,"Primary Energy|Oil",31.8407732390651,"EJ/yr","United States"
"EIA","Historic",1983,"Primary Energy|Coal",16.7695240562291,"EJ/yr","United States"
"EIA","Historic",1983,"Primary Energy|Gas",18.1689438088092,"EJ/yr","United States"
"EIA","Historic",1983,"Primary Energy|Oil",31.6485568334997,"EJ/yr","United States"
"EIA","Historic",1984,"Primary Energy|Coal",18.0104596489637,"EJ/yr","United States"
"EIA","Historic",1984,"Primary Energy|Gas",19.4062890464773,"EJ/yr","United States"
"EIA","Historic",1984,"Primary Energy|Oil",32.6985357573569,"EJ/yr","United States"
"EIA","Historic",1985,"Primary Energy|Coal",18.4407177559973,"EJ/yr","United States"
"EIA","Historic",1985,"Primary Energy|Gas",18.6781622958528,"EJ/yr","United States"
"EIA","Historic",1985,"Primary Energy|Oil",32.5658624838899,"EJ/yr","United States"
"EIA","Historic",1986,"Primary Energy|Coal",18.2106913138415,"EJ/yr","United States"
"EIA","Historic",1986,"Primary Energy|Gas",17.5048156911488,"EJ/yr","United States"
"EIA","Historic",1986,"Primary Energy|Oil",33.9201965347199,"EJ/yr","United States"
"EIA","Historic",1987,"Primary Energy|Coal",18.9999216241705,"EJ/yr","United States"
"EIA","Historic",1987,"Primary Energy|Gas",18.6109752841021,"EJ/yr","United States"
"EIA","Historic",1987,"Primary Energy|Oil",34.6242732871839,"EJ/yr","United States"
"EIA","Historic",1988,"Primary Energy|Coal",19.8839117759025,"EJ/yr","United States"
"EIA","Historic",1988,"Primary Energy|Gas",19.4640850060838,"EJ/yr","United States"
"EIA","Historic",1988,"Primary Energy|Oil",36.0542041999659,"EJ/yr","United States"
"EIA","Historic",1989,"Primary Energy|Coal",20.1196640061705,"EJ/yr","United States"
"EIA","Historic",1989,"Primary Energy|Gas",20.6807891310513,"EJ/yr","United States"
"EIA","Historic",1989,"Primary Energy|Oil",36.0448775062288,"EJ/yr","United States"
"EIA","Historic",1990,"Primary Energy|Coal",20.2282007668971,"EJ/yr","United States"
"EIA","Historic",1990,"Primary Energy|Gas",20.6825415788225,"EJ/yr","United States"
"EIA","Historic",1990,"Primary Energy|Oil",35.3442845481901,"EJ/yr","United States"
"EIA","Historic",1991,"Primary Energy|Coal",20.0372725845277,"EJ/yr","United States"
"EIA","Historic",1991,"Primary Energy|Gas",21.1358895831907,"EJ/yr","United States"
"EIA","Historic",1991,"Primary Energy|Oil",34.5943329121983,"EJ/yr","United States"
"EIA","Historic",1992,"Primary Energy|Coal",20.1752749451062,"EJ/yr","United States"
"EIA","Historic",1992,"Primary Energy|Gas",21.8540386706169,"EJ/yr","United States"
"EIA","Historic",1992,"Primary Energy|Oil",35.3102516115521,"EJ/yr","United States"
"EIA","Historic",1993,"Primary Energy|Coal",20.9271889849839,"EJ/yr","United States"
"EIA","Historic",1993,"Primary Energy|Gas",22.39778069527,"EJ/yr","United States"
"EIA","Historic",1993,"Primary Energy|Oil",35.4367802397334,"EJ/yr","United States"
"EIA","Historic",1994,"Primary Energy|Coal",21.0055954606713,"EJ/yr","United States"
"EIA","Historic",1994,"Primary Energy|Gas",22.9243242544695,"EJ/yr","United States"
"EIA","Historic",1994,"Primary Energy|Oil",36.350282413775,"EJ/yr","United States"
"EIA","Historic",1995,"Primary Energy|Coal",21.1947289930354,"EJ/yr","United States"
"EIA","Historic",1995,"Primary Energy|Gas",23.9193178875115,"EJ/yr","United States"
"EIA","Historic",1995,"Primary Energy|Oil",36.2317964763582,"EJ/yr","United States"
"EIA","Historic",1996,"Primary Energy|Coal",22.1581922819219,"EJ/yr","United States"
"EIA","Historic",1996,"Primary Energy|Gas",24.3555919230167,"EJ/yr","United States"
"EIA","Historic",1996,"Primary Energy|Oil",37.5483057198159,"EJ/yr","United States"
"EIA","Historic",1997,"Primary Energy|Coal",22.6261063873913,"EJ/yr","United States"
"EIA","Historic",1997,"Primary Energy|Gas",24.5012624295321,"EJ/yr","United States"
"EIA","Historic",1997,"Primary Energy|Oil",38.0507106561634,"EJ/yr","United States"
"EIA","Historic",1998,"Primary Energy|Coal",22.8480194500404,"EJ/yr","United States"
"EIA","Historic",1998,"Primary Energy|Gas",24.0871635579373,"EJ/yr","United States"
"EIA","Historic",1998,"Primary Energy|Oil",38.7414356768125,"EJ/yr","United States"
"EIA","Historic",1999,"Primary Energy|Coal",22.8129915957335,"EJ/yr","United States"
"EIA","Historic",1999,"Primary Energy|Gas",24.1705140253501,"EJ/yr","United States"
"EIA","Historic",1999,"Primary Energy|Oil",39.8095098635979,"EJ/yr","United States"
"EIA","Historic",2000,"Primary Energy|Coal",23.8226631657972,"EJ/yr","United States"
"EIA","Historic",2000,"Primary Energy|Gas",25.1356263665343,"EJ/yr","United States"
"EIA","Historic",2000,"Primary Energy|Oil",40.252041435365,"EJ/yr","United States"
"EIA","Historic",2001,"Primary Energy|Coal",23.1207767092832,"EJ/yr","United States"
"EIA","Historic",2001,"Primary Energy|Gas",24.0263205970284,"EJ/yr","United States"
"EIA","Historic",2001,"Primary Energy|Oil",40.1804020879163,"EJ/yr","United States"
"EIA","Historic",2002,"Primary Energy|Coal",23.1099317901741,"EJ/yr","United States"
"EIA","Historic",2002,"Primary Energy|Gas",24.8044485546203,"EJ/yr","United States"
"EIA","Historic",2002,"Primary Energy|Oil",40.2160091678863,"EJ/yr","United States"
"EIA","Historic",2003,"Primary Energy|Coal",23.5498257223096,"EJ/yr","United States"
"EIA","Historic",2003,"Primary Energy|Gas",24.087602461172,"EJ/yr","United States"
"EIA","Historic",2003,"Primary Energy|Oil",40.8380479424182,"EJ/yr","United States"
"EIA","Historic",2004,"Primary Energy|Coal",23.7030905208522,"EJ/yr","United States"
"EIA","Historic",2004,"Primary Energy|Gas",24.1851096680153,"EJ/yr","United States"
"EIA","Historic",2004,"Primary Energy|Oil",42.3491537974449,"EJ/yr","United States"
"EIA","Historic",2005,"Primary Energy|Coal",24.0516261116535,"EJ/yr","United States"
"EIA","Historic",2005,"Primary Energy|Gas",23.8077193547007,"EJ/yr","United States"
