model,scenario,region,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Appliances|Oil,EJ/yr,0.049780616,0.031228496,0.056160146,0.05744673,0.061011517,0.057005493,0.04543683,0.027910545,0.012014612,0.006465488
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Biomass Liquids,EJ/yr,0.11277453,0.101663242,0.1033092,0.102511641,0.111826284,0.123116089,0.14545903,0.171742195,0.19909434,0.20908502
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Cooling|Electricity,EJ/yr,0.588462545,0.629619997,0.591139268,0.599005333,0.636622897,0.641901747,0.64923766,0.648711649,0.656872134,0.67589165
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Electricity,EJ/yr,4.819271036,4.984653756,5.077171679,5.16451283,5.546067267,5.68015039,5.780637698,5.939740648,6.227903722,6.430742218
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Gas,EJ/yr,2.913843243,3.001995982,3.120252929,2.958036196,2.98364978,2.933565094,2.853409016,2.80532718,2.637574658,2.652593566
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Heating|Biomass Liquids,EJ/yr,0.11277453,0.101663242,0.1033092,0.102511641,0.111826284,0.123116089,0.14545903,0.171742195,0.19909434,0.20908502
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Heating|Electricity,EJ/yr,0.215669326,0.13443864,0.192722507,0.218543126,0.26630935,0.308389191,0.370010871,0.42128139,0.527398622,0.575307289
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Heating|Gas,EJ/yr,2.042856119,1.94897207,1.78099425,1.688867935,1.683774896,1.627448886,1.561313757,1.485147589,1.324459179,1.319914206
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Heating|Oil,EJ/yr,0.520161642,0.371176673,0.152556537,0.167091529,0.18251276,0.175409651,0.148439191,0.097889596,0.044959025,0.026099233
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Lighting|Electricity,EJ/yr,1.400581202,0.911346306,1.029222302,0.976948861,0.948216752,0.850784988,0.716494344,0.716557805,0.727869105,0.746862559
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Oil,EJ/yr,0.649925225,0.551582135,0.521081526,0.547310347,0.594835565,0.596099484,0.586933169,0.503492989,0.380846626,0.317548713
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Other|Electricity,EJ/yr,1.3917675,1.8904057,2.099381531,2.188338705,2.399903383,2.516420686,2.620413446,2.680861652,2.790564329,2.886704926
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Other|Gas,EJ/yr,0.1410065,0.1066202,0.6586881,0.597543977,0.619358579,0.639317195,0.646011468,0.670904006,0.666449954,0.663101677
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Commercial|Other|Oil,EJ/yr,0.079982966,0.149176967,0.312364844,0.322772089,0.351311288,0.363684341,0.393057148,0.377692847,0.323872989,0.284983992
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Electricity,EJ/yr,9.956591833,10.40215536,10.31607151,10.32138688,11.00640793,11.33561674,11.67930561,11.96938628,12.49599891,12.9276668
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Gas,EJ/yr,7.599305301,7.626558438,7.617223309,7.06800119,6.803595125,6.287992875,5.848439101,5.636253702,5.333344035,5.236230844
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Oil,EJ/yr,1.887523527,1.502623496,1.110671681,1.092975808,1.101087254,1.032095814,0.950637436,0.771690777,0.564913541,0.446467779
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Residential,EJ/yr,11.54164367,11.53060717,10.77194696,10.21972139,10.15793045,9.766568476,9.564626264,9.473848193,9.519158092,9.587862518
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Residential|Appliances|Electricity,EJ/yr,1.94396258,2.156495444,2.055492267,2.087204704,2.280083544,2.353843983,2.503490836,2.547528158,2.626418546,2.714439935
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Residential|Appliances|Gas,EJ/yr,1.778946066,1.478576271,1.32701025,1.267007721,1.234062001,1.124216711,1.052713908,1.134021539,1.200488018,1.232574969
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Residential|Appliances|Oil,EJ/yr,0.252733828,0.157440857,0.108449461,0.105739261,0.103570767,0.089242393,0.074663552,0.065512106,0.055100762,0.047614137
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Residential|Biomass Liquids,EJ/yr,0.463554066,0.510832565,0.419354739,0.381499988,0.34766384,0.30003025,0.28089663,0.277388652,0.274514666,0.272220835
GCAM-USA v6.0,base IRA,United States,Final Energy|Buildings|Residential|Cooling|Electricity,EJ/yr,1.042151888,0.821821697,0.90609105,0.886470904,0.941617325,0.960483029,0.973252352,0.986351903,1.026331086,1.062397196
