Round,Category,Tier,Variable,Unit,Definition
2,Energy,1,Capacity|Electricity|Storage Energy|Battery,GWh,Total energy storage capacity of battery storage
2,Energy,1,Capacity|Electricity|Storage Energy|Other,GWh,Total energy storage capacity of energy storage of all other types
2,Energy,1,Capacity|Electricity|Storage Energy|PSH,GWh,Total energy storage capacity of operating pumped hydropower storage
2,Energy,1,Capacity|Electricity|Transmissions Grid,GWkm,Total installed capacity of operating transmission grid
2,Energy,1,Capacity|Electricity|Wind,GW,total installed electricity generation capacity of wind power installations
2,Energy,1,Capacity|Electricity|Wind|Offshore,GW,total installed electricity generation capacity of offshore wind power installations
2,Energy,1,Capacity|Electricity|Wind|Onshore,GW,total installed electricity generation capacity of onshore wind power installations
2,Energy,4,Capacity|Hydrogen|Biomass|w/ CCS,EJ/yr,Total installed (available) capacity of biomass gassification hydrogen plants with CCS.
2,Energy,4,Capacity|Hydrogen|Biomass|w/o CCS,EJ/yr,Total installed (available) capacity of biomass gassification hydrogen plants without CCS.
2,Energy,4,Capacity|Hydrogen|Coal|w/ CCS,EJ/yr,Total installed (available) capacity of coal gassification to hydrogen plants with CCS.
2,Energy,4,Capacity|Hydrogen|Electrolysis,EJ/yr,Total installed (available) capacity of hydrogen-by-electrolysis plants.
2,Energy,4,Capacity|Hydrogen|Ethanol,EJ/yr,Total installed (available) capacity of ethanol smr hydrogen plants without CCS.
2,Energy,4,Capacity|Hydrogen|Gas|w/ CCS,EJ/yr,Total installed (available) capacity of gas smr hydrogen plants with CCS.
2,Energy,4,Capacity|Hydrogen|Gas|w/o CCS,EJ/yr,Total installed (available) capacity of gas smr hydrogen plants without CCS.
2,Energy,4,Capacity|Hydrogen|Photoelectrochemical,EJ/yr,Total installed (available) capacity of photoelectrochemical hydrogen plants without CCS.
2,Energy,4,Capacity|Hydrogen|Thermochemical,EJ/yr,Total installed (available) capacity of thermochemical hydrogen plants without CCS.
2,Energy,4,Capacity|Liquids|Oil,EJ/yr,Total installed (available) capacity of oil refining plants.
2,Energy,4,Capacity|Synthetic Gas,EJ/yr,"Total installed (available) capacity of synthetic gas (i.e., made from bio- or DAC-sourced carbon and hydrogen) plants."
2,Energy,4,Capacity|Synthetic Liquids,EJ/yr,"Total installed (available) capacity of synthetic liquids (i.e., made from bio- or DAC-sourced carbon and hydrogen) plants."
2,CCS,1,Carbon Sequestration|CCS,Mt CO2/yr,"total carbon dioxide emissions captured and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as NEGATIVE numbers"
2,CCS,1,Carbon Sequestration|CCS|Biomass|Energy,Mt CO2/yr,"total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as NEGATIVE numbers"
2,CCS,1,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Mt CO2/yr,"total CO2 emissions sequestered from bioenergy combustion in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as NEGATIVE numbers"
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry|EInt Mfg,Mt CO2/yr,total CO2 emissions sequestered from biomass in energy intensive manufacturing. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry|EInt Mfg|Aluminum,Mt CO2/yr,total CO2 emissions sequestered from biomass combustion in aluminum. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry|EInt Mfg|Bulk chemicals,Mt CO2/yr,total CO2 emissions sequestered from biomass combustion in bulk chemicals. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry|EInt Mfg|Cement and Lime,Mt CO2/yr,total CO2 emissions sequestered from biomass combustion in cement and lime. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry|EInt Mfg|Food products,Mt CO2/yr,total CO2 emissions sequestered from biomass combustion in food products. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry|EInt Mfg|Glass,Mt CO2/yr,total CO2 emissions sequestered from biomass combustion in glass. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry|EInt Mfg|Iron and steel,Mt CO2/yr,total CO2 emissions sequestered from biomass combustion in iron and steel. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry|EInt Mfg|Other,Mt CO2/yr,total CO2 emissions sequestered from biomass combustion in other energy intensive sectors. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry|EInt Mfg|Paper,Mt CO2/yr,total CO2 emissions sequestered from biomass combustion in paper. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry|Non Mfg,Mt CO2/yr,total CO2 emissions sequestered from biomass combustion in non-manufacturing sectors. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Supply|Biogas,Mt CO2/yr,total CO2 emissions sequestered from bioenergy combustion in biogas production. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Supply|Biomass Liquids,Mt CO2/yr,total CO2 emissions sequestered from bioenergy combustion in biomass liquids production. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Supply|Biomass Solids,Mt CO2/yr,total CO2 emissions sequestered from bioenergy combustion in biomass solids production. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr,total CO2 emissions sequestered from combustion in electricity production from biomass. Report as NEGATIVE
2,CCS,3,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity|New Builds,Mt CO2/yr,total CO2 emissions sequestered from combustion in electricity production from biomass (new builds). Report as NEGATIVE
