model,scenario,region,variable,unit,year,value,datasrc
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2060,308.0927796,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2065,330.0430648,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2070,337.9606237,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2075,344.4588084,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2080,349.4168521,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2085,353.3532239,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2090,356.5303038,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2095,358.97115,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Energy|Residues,Million t DM/yr,2100,360.457296,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2010,1177.074177,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2015,1235.953599,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2020,1285.127794,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2025,1366.730222,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2030,1442.92451,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2035,1513.367761,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2040,1574.592047,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2045,1633.571437,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2050,1694.279504,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2055,1755.803994,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2060,1815.566266,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2065,1875.478236,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2070,1929.231674,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2075,1974.34712,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2080,2010.185041,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2085,2040.163136,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2090,2065.415944,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2095,2085.276348,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy,Million t DM/yr,2100,2100.566238,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2010,1040.897553,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2015,1095.625512,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2020,1138.642664,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2025,1211.270723,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2030,1279.666571,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2035,1342.911604,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2040,1397.058252,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2045,1449.189677,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2050,1503.410311,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2055,1558.797192,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2060,1612.315848,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2065,1666.071138,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2070,1714.090449,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2075,1754.064209,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2080,1785.542933,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2085,1811.774764,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2090,1833.843002,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2095,1851.12902,emf37_usacanmex.csv
