model,scenario,region,variable,unit,year,value
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2030,0
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2030,2.654488614
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2030,0.004907963
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2030,0.007491459
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2030,2.075271883
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2030,0
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2030,0.127579457
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2030,2.839218214
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2030,5.719376055
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2030,2.156756419
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2035,1.058980662
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2035,0.161091204
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2035,0
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2035,2.462567717
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2035,0
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2035,0
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2035,2.224584484
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2035,0
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2035,0.131217918
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2035,2.838497208
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2035,6.655238001
GCAM-CGS,No IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2035,2.609214934
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2025,1.052369856
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2025,0.132989385
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2025,0
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2025,3.239083888
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2025,0
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2025,0
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2025,3.142771478
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2025,0
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2025,0.088805785
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2025,2.710977095
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2025,2.68283204
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2025,1.615771114
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2030,1.052121059
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2030,0.150521924
