"model","scenario","region","variable","unit","year","value"
"EIA","Historic","United States","Secondary Energy|Electricity|Other","EJ/yr","1960",0
"EIA","Historic","United States","Secondary Energy|Electricity|Nuclear","EJ/yr","1960",0.0018654552
"EIA","Historic","United States","Secondary Energy|Electricity|Hydro","EJ/yr","1960",0.537984126
"EIA","Historic","United States","Secondary Energy|Electricity|Biomass|w/o CCS","EJ/yr","1960",0.0005045976
"EIA","Historic","United States","Secondary Energy|Electricity|Geothermal","EJ/yr","1960",0.0001201248
"EIA","Historic","United States","Secondary Energy|Electricity|Solar","EJ/yr","1960",0
"EIA","Historic","United States","Secondary Energy|Electricity|Wind","EJ/yr","1960",0
"EIA","Historic","United States","Secondary Energy|Electricity","EJ/yr","1960",2.7329608368
"EIA","Historic","United States","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr","1961",1.5187344084
"EIA","Historic","United States","Secondary Energy|Electricity|Oil|w/o CCS","EJ/yr","1961",0.1746697536
"EIA","Historic","United States","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr","1961",0.6094295928
"EIA","Historic","United States","Secondary Energy|Electricity|Other","EJ/yr","1961",0
"EIA","Historic","United States","Secondary Energy|Electricity|Nuclear","EJ/yr","1961",0.0060917364
"EIA","Historic","United States","Secondary Energy|Electricity|Hydro","EJ/yr","1961",0.5599311984
"EIA","Historic","United States","Secondary Energy|Electricity|Biomass|w/o CCS","EJ/yr","1961",0.0004526424
"EIA","Historic","United States","Secondary Energy|Electricity|Geothermal","EJ/yr","1961",0.0003384756
"EIA","Historic","United States","Secondary Energy|Electricity|Solar","EJ/yr","1961",0
"EIA","Historic","United States","Secondary Energy|Electricity|Wind","EJ/yr","1961",0
"EIA","Historic","United States","Secondary Energy|Electricity","EJ/yr","1961",2.8696478076
"EIA","Historic","United States","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr","1962",1.6208972568
"EIA","Historic","United States","Secondary Energy|Electricity|Oil|w/o CCS","EJ/yr","1962",0.1759663296
"EIA","Historic","United States","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr","1962",0.6634846548
"EIA","Historic","United States","Secondary Energy|Electricity|Other","EJ/yr","1962",0
"EIA","Historic","United States","Secondary Energy|Electricity|Nuclear","EJ/yr","1962",0.008170866
"EIA","Historic","United States","Secondary Energy|Electricity|Hydro","EJ/yr","1962",0.6192563256
"EIA","Historic","United States","Secondary Energy|Electricity|Biomass|w/o CCS","EJ/yr","1962",0.0004600656
"EIA","Historic","United States","Secondary Energy|Electricity|Geothermal","EJ/yr","1962",0.0003616632
"EIA","Historic","United States","Secondary Energy|Electricity|Solar","EJ/yr","1962",0
"EIA","Historic","United States","Secondary Energy|Electricity|Wind","EJ/yr","1962",0
"EIA","Historic","United States","Secondary Energy|Electricity","EJ/yr","1962",3.0885971616
"EIA","Historic","United States","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr","1963",1.7781361884
"EIA","Historic","United States","Secondary Energy|Electricity|Oil|w/o CCS","EJ/yr","1963",0.187205796
"EIA","Historic","United States","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr","1963",0.7257674628
"EIA","Historic","United States","Secondary Energy|Electricity|Other","EJ/yr","1963",0
"EIA","Historic","United States","Secondary Energy|Electricity|Nuclear","EJ/yr","1963",0.0115626096
"EIA","Historic","United States","Secondary Energy|Electricity|Hydro","EJ/yr","1963",0.608364504
"EIA","Historic","United States","Secondary Energy|Electricity|Biomass|w/o CCS","EJ/yr","1963",0.000460584
"EIA","Historic","United States","Secondary Energy|Electricity|Geothermal","EJ/yr","1963",0.0006046308
"EIA","Historic","United States","Secondary Energy|Electricity|Solar","EJ/yr","1963",0
"EIA","Historic","United States","Secondary Energy|Electricity|Wind","EJ/yr","1963",0
"EIA","Historic","United States","Secondary Energy|Electricity","EJ/yr","1963",3.3121017756
"EIA","Historic","United States","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr","1964",1.8944280684
"EIA","Historic","United States","Secondary Energy|Electricity|Oil|w/o CCS","EJ/yr","1964",0.2050333632
"EIA","Historic","United States","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr","1964",0.7921385244
"EIA","Historic","United States","Secondary Energy|Electricity|Other","EJ/yr","1964",0
"EIA","Historic","United States","Secondary Energy|Electricity|Nuclear","EJ/yr","1964",0.0120338748
"EIA","Historic","United States","Secondary Energy|Electricity|Hydro","EJ/yr","1964",0.6490854216
"EIA","Historic","United States","Secondary Energy|Electricity|Biomass|w/o CCS","EJ/yr","1964",0.0005330736
"EIA","Historic","United States","Secondary Energy|Electricity|Geothermal","EJ/yr","1964",0.0007336476
"EIA","Historic","United States","Secondary Energy|Electricity|Solar","EJ/yr","1964",0
"EIA","Historic","United States","Secondary Energy|Electricity|Wind","EJ/yr","1964",0
"EIA","Historic","United States","Secondary Energy|Electricity","EJ/yr","1964",3.5539859736
"EIA","Historic","United States","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr","1965",2.0553334236
"EIA","Historic","United States","Secondary Energy|Electricity|Oil|w/o CCS","EJ/yr","1965",0.2332844064
"EIA","Historic","United States","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr","1965",0.7976139624
"EIA","Historic","United States","Secondary Energy|Electricity|Other","EJ/yr","1965",0
"EIA","Historic","United States","Secondary Energy|Electricity|Nuclear","EJ/yr","1965",0.0131641164
"EIA","Historic","United States","Secondary Energy|Electricity|Hydro","EJ/yr","1965",0.709143642
"EIA","Historic","United States","Secondary Energy|Electricity|Biomass|w/o CCS","EJ/yr","1965",0.0009676944
"EIA","Historic","United States","Secondary Energy|Electricity|Geothermal","EJ/yr","1965",0.0006811704
"EIA","Historic","United States","Secondary Energy|Electricity|Solar","EJ/yr","1965",0
"EIA","Historic","United States","Secondary Energy|Electricity|Wind","EJ/yr","1965",0
"EIA","Historic","United States","Secondary Energy|Electricity","EJ/yr","1965",3.8101884156
"EIA","Historic","United States","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr","1966",2.20850928
"EIA","Historic","United States","Secondary Energy|Electricity|Oil|w/o CCS","EJ/yr","1966",0.2841342192
"EIA","Historic","United States","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr","1966",0.9041456232
"EIA","Historic","United States","Secondary Energy|Electricity|Other","EJ/yr","1966",0
"EIA","Historic","United States","Secondary Energy|Electricity|Nuclear","EJ/yr","1966",0.0198716724
"EIA","Historic","United States","Secondary Energy|Electricity|Hydro","EJ/yr","1966",0.7125751368
"EIA","Historic","United States","Secondary Energy|Electricity|Biomass|w/o CCS","EJ/yr","1966",0.0012021336
"EIA","Historic","United States","Secondary Energy|Electricity|Geothermal","EJ/yr","1966",0.0006767568
"EIA","Historic","United States","Secondary Energy|Electricity|Solar","EJ/yr","1966",0
"EIA","Historic","United States","Secondary Energy|Electricity|Wind","EJ/yr","1966",0
"EIA","Historic","United States","Secondary Energy|Electricity","EJ/yr","1966",4.131114822
"EIA","Historic","United States","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr","1967",2.2697401068
"EIA","Historic","United States","Secondary Energy|Electricity|Oil|w/o CCS","EJ/yr","1967",0.3213746064
"EIA","Historic","United States","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr","1967",0.953300826
"EIA","Historic","United States","Secondary Energy|Electricity|Other","EJ/yr","1967",0
"EIA","Historic","United States","Secondary Energy|Electricity|Nuclear","EJ/yr","1967",0.0275587704
"EIA","Historic","United States","Secondary Energy|Electricity|Hydro","EJ/yr","1967",0.809814978
"EIA","Historic","United States","Secondary Energy|Electricity|Biomass|w/o CCS","EJ/yr","1967",0.0011364768
"EIA","Historic","United States","Secondary Energy|Electricity|Geothermal","EJ/yr","1967",0.0011387124
"EIA","Historic","United States","Secondary Energy|Electricity|Solar","EJ/yr","1967",0
"EIA","Historic","United States","Secondary Energy|Electricity|Wind","EJ/yr","1967",0
"EIA","Historic","United States","Secondary Energy|Electricity","EJ/yr","1967",4.3840644768
"EIA","Historic","United States","Secondary Energy|Electricity|Coal|w/o CCS","EJ/yr","1968",2.465656488
"EIA","Historic","United States","Secondary Energy|Electricity|Oil|w/o CCS","EJ/yr","1968",0.3753929988
"EIA","Historic","United States","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr","1968",1.0959578028
"EIA","Historic","United States","Secondary Energy|Electricity|Other","EJ/yr","1968",0
"EIA","Historic","United States","Secondary Energy|Electricity|Nuclear","EJ/yr","1968",0.0451023084
"EIA","Historic","United States","Secondary Energy|Electricity|Hydro","EJ/yr","1968",0.8131433688
"EIA","Historic","United States","Secondary Energy|Electricity|Biomass|w/o CCS","EJ/yr","1968",0.0013502232
"EIA","Historic","United States","Secondary Energy|Electricity|Geothermal","EJ/yr","1968",0.0015689736
"EIA","Historic","United States","Secondary Energy|Electricity|Solar","EJ/yr","1968",0
"EIA","Historic","United States","Secondary Energy|Electricity|Wind","EJ/yr","1968",0
"EIA","Historic","United States","Secondary Energy|Electricity","EJ/yr","1968",4.7981721636
