region,year,value,variable,unit,scenario,model
United States,2030,94.7068,Capacity|Electricity|Nuclear,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,0,Capacity|Electricity|Nuclear|SMR,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2023,0,Capacity|Electricity|Nuclear|SMR,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2024,0,Capacity|Electricity|Nuclear|SMR,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2025,0,Capacity|Electricity|Nuclear|SMR,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2026,0,Capacity|Electricity|Nuclear|SMR,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2027,0.32,Capacity|Electricity|Nuclear|SMR,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2028,0.665,Capacity|Electricity|Nuclear|SMR,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,0.665,Capacity|Electricity|Nuclear|SMR,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2030,1.385,Capacity|Electricity|Nuclear|SMR,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,23.0612,Capacity|Electricity|Storage Capacity|PSH,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2023,23.0612,Capacity|Electricity|Storage Capacity|PSH,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2024,23.0612,Capacity|Electricity|Storage Capacity|PSH,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2025,23.0655,Capacity|Electricity|Storage Capacity|PSH,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2026,23.066,Capacity|Electricity|Storage Capacity|PSH,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2027,23.0662,Capacity|Electricity|Storage Capacity|PSH,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2028,23.0436,Capacity|Electricity|Storage Capacity|PSH,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,23.0416,Capacity|Electricity|Storage Capacity|PSH,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2030,23.0416,Capacity|Electricity|Storage Capacity|PSH,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,6.0308,Capacity|Electricity|Solar|PV|Utility-Scale,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2023,107.8469,Capacity|Electricity|Solar|PV|Utility-Scale,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2024,136.2422,Capacity|Electricity|Solar|PV|Utility-Scale,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2025,172.9154,Capacity|Electricity|Solar|PV|Utility-Scale,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2026,229.1815,Capacity|Electricity|Solar|PV|Utility-Scale,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2027,275.0419,Capacity|Electricity|Solar|PV|Utility-Scale,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2028,333.8862,Capacity|Electricity|Solar|PV|Utility-Scale,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,381.5927,Capacity|Electricity|Solar|PV|Utility-Scale,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2030,423.303,Capacity|Electricity|Solar|PV|Utility-Scale,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,0.054,Capacity|Electricity|Wind|Offshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2023,0.584,Capacity|Electricity|Wind|Offshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2024,5.545,Capacity|Electricity|Wind|Offshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2025,7.675,Capacity|Electricity|Wind|Offshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2026,12.685,Capacity|Electricity|Wind|Offshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2027,16.637,Capacity|Electricity|Wind|Offshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2028,19.615,Capacity|Electricity|Wind|Offshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,21.785,Capacity|Electricity|Wind|Offshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2030,24.242,Capacity|Electricity|Wind|Offshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,0,Capacity|Electricity|Wind|Onshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2023,170.1846,Capacity|Electricity|Wind|Onshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2024,188.7894,Capacity|Electricity|Wind|Onshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2025,220.6254,Capacity|Electricity|Wind|Onshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2026,250.596,Capacity|Electricity|Wind|Onshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2027,274.3426,Capacity|Electricity|Wind|Onshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2028,330.2628,Capacity|Electricity|Wind|Onshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2029,371.6287,Capacity|Electricity|Wind|Onshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2030,416.8503,Capacity|Electricity|Wind|Onshore,GW,IRA-BIL - AdvAllClean,ReEDS
United States,2022,-0.005217991,Secondary Energy|Electricity|Storage|Battery,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2023,-0.004556999,Secondary Energy|Electricity|Storage|Battery,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2024,-0.008887262,Secondary Energy|Electricity|Storage|Battery,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2025,-0.008367588,Secondary Energy|Electricity|Storage|Battery,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2026,-0.016768004,Secondary Energy|Electricity|Storage|Battery,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2027,-0.030865262,Secondary Energy|Electricity|Storage|Battery,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2028,-0.058493246,Secondary Energy|Electricity|Storage|Battery,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2029,-0.080505263,Secondary Energy|Electricity|Storage|Battery,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2030,-0.115538929,Secondary Energy|Electricity|Storage|Battery,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2022,0.081032839,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2023,0.066659778,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2024,0.064124842,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2025,0.062591188,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2026,0.0613886,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2027,0.060485011,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2028,0.058029152,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2029,0.057230662,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2030,0.055428728,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2022,0,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2023,0,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2024,0,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2025,0.004945471,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2026,0.009890942,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2027,0.01483641,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2028,1.189044317,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2029,1.330370748,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2030,1.354348044,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2022,3.500309336,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2023,2.777593327,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2024,2.353733525,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2025,1.948913777,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2026,1.574742355,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2027,1.108805789,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2028,0.17212149,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2029,0.131379286,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2030,0.110610331,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2022,0.013138056,Secondary Energy|Electricity|Solar|CSP,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2023,0.013138056,Secondary Energy|Electricity|Solar|CSP,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2024,0.013138056,Secondary Energy|Electricity|Solar|CSP,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2025,0.012925105,Secondary Energy|Electricity|Solar|CSP,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2026,0.013138056,Secondary Energy|Electricity|Solar|CSP,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2027,0.013071874,Secondary Energy|Electricity|Solar|CSP,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2028,0.013038527,Secondary Energy|Electricity|Solar|CSP,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2029,0.010765879,Secondary Energy|Electricity|Solar|CSP,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2030,0.011528446,Secondary Energy|Electricity|Solar|CSP,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2022,0.160269156,Secondary Energy|Electricity|Solar|PV|Rooftop,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2023,0.204567462,Secondary Energy|Electricity|Solar|PV|Rooftop,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2024,0.21384333,Secondary Energy|Electricity|Solar|PV|Rooftop,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2025,0.250314365,Secondary Energy|Electricity|Solar|PV|Rooftop,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2026,0.270455929,Secondary Energy|Electricity|Solar|PV|Rooftop,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2027,0.328311835,Secondary Energy|Electricity|Solar|PV|Rooftop,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2028,0.399838489,Secondary Energy|Electricity|Solar|PV|Rooftop,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2029,0.462011756,Secondary Energy|Electricity|Solar|PV|Rooftop,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2030,0.511325543,Secondary Energy|Electricity|Solar|PV|Rooftop,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2022,0,Secondary Energy|Electricity|Gas|CC|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2023,0,Secondary Energy|Electricity|Gas|CC|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2024,0,Secondary Energy|Electricity|Gas|CC|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2025,0.00726377,Secondary Energy|Electricity|Gas|CC|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2026,0.014527541,Secondary Energy|Electricity|Gas|CC|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2027,0.021791311,Secondary Energy|Electricity|Gas|CC|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2028,0.029055082,Secondary Energy|Electricity|Gas|CC|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2029,0.029055082,Secondary Energy|Electricity|Gas|CC|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2030,0.029055082,Secondary Energy|Electricity|Gas|CC|w/ CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2022,4.370963033,Secondary Energy|Electricity|Gas|CC|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2023,4.408479576,Secondary Energy|Electricity|Gas|CC|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2024,4.452077974,Secondary Energy|Electricity|Gas|CC|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2025,4.135295178,Secondary Energy|Electricity|Gas|CC|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2026,3.746456467,Secondary Energy|Electricity|Gas|CC|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2027,3.45201444,Secondary Energy|Electricity|Gas|CC|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2028,2.220064387,Secondary Energy|Electricity|Gas|CC|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2029,1.48037459,Secondary Energy|Electricity|Gas|CC|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2030,0.881042713,Secondary Energy|Electricity|Gas|CC|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2022,0.247160005,Secondary Energy|Electricity|Gas|CT|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2023,0.247845524,Secondary Energy|Electricity|Gas|CT|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2024,0.226048734,Secondary Energy|Electricity|Gas|CT|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2025,0.223009171,Secondary Energy|Electricity|Gas|CT|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2026,0.219569414,Secondary Energy|Electricity|Gas|CT|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2027,0.217091441,Secondary Energy|Electricity|Gas|CT|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2028,0.215645641,Secondary Energy|Electricity|Gas|CT|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2029,0.214686695,Secondary Energy|Electricity|Gas|CT|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
United States,2030,0.211079606,Secondary Energy|Electricity|Gas|CT|w/o CCS,EJ/yr,IRA-BIL - AdvAllClean,ReEDS
