"model","scenario","unit","year","datasrc","variable","region","value"
"GCAM-PNNL","IRA","Mt CO2/yr",2030,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2|Energy|Demand|Buildings","United States",456.458572855805
"GCAM-PNNL","IRA","Mt CO2/yr",2030,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2|Energy|Demand|Transportation","United States",1444.91373323989
"GCAM-PNNL","IRA","Mt CO2/yr",2030,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2|Energy|Supply|Electricity","United States",831.998710072543
"GCAM-PNNL","IRA","Mt CO2/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2","United States",3310.10805031081
"GCAM-PNNL","IRA","Mt CO2/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2|Energy|Demand|Buildings","United States",452.958393670429
"GCAM-PNNL","IRA","Mt CO2/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2|Energy|Demand|Transportation","United States",1195.85113112293
"GCAM-PNNL","IRA","Mt CO2/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2|Energy|Supply|Electricity","United States",784.368180921919
"GCAM-PNNL","No IRA","Mt CO2/yr",2030,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2","United States",4093.635
"GCAM-PNNL","No IRA","Mt CO2/yr",2030,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2|Energy|Demand|Buildings","United States",451.1881
"GCAM-PNNL","No IRA","Mt CO2/yr",2030,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2|Energy|Demand|Transportation","United States",1507.175
"GCAM-PNNL","No IRA","Mt CO2/yr",2030,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2|Energy|Supply|Electricity","United States",1234.722
"GCAM-PNNL","No IRA","Mt CO2/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2","United States",3788
"GCAM-PNNL","No IRA","Mt CO2/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2|Energy|Demand|Buildings","United States",445.1777
"GCAM-PNNL","No IRA","Mt CO2/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2|Energy|Demand|Transportation","United States",1280.413
"GCAM-PNNL","No IRA","Mt CO2/yr",2035,"PNNL_GCAM6_IRA_EPA_LEEP_6_30_23.xlsx","Emissions|CO2|Energy|Supply|Electricity","United States",1182.894
"GCAM-PNNL","IRA","Mt CO2/yr",2030,"calculated","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",789.92060584739
"GCAM-PNNL","IRA","Mt CO2/yr",2035,"calculated","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",773.204942909632
"GCAM-PNNL","No IRA","Mt CO2/yr",2030,"calculated","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",790.95660080117
"GCAM-PNNL","No IRA","Mt CO2/yr",2035,"calculated","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",774.2846881067
"Haiku-RFF","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",852.658725492053
"Haiku-RFF","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",767.701065402758
"Haiku-RFF","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1282.5776456571
"Haiku-RFF","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1174.26339683437
"IPM-EPA","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",971.719363965523
"IPM-EPA","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",608.299102727081
"IPM-EPA","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1303.58284422178
"IPM-EPA","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1247.28769086048
"IPM-NRDC","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",827.389198560903
"IPM-NRDC","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",772.508012550513
"IPM-NRDC","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1075.92232861268
"IPM-NRDC","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1079.88005163251
"MARKAL-NETL","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2","United States",3978.59
"MARKAL-NETL","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",259.2
"MARKAL-NETL","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",1076.13
"MARKAL-NETL","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1380.98
"MARKAL-NETL","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1232.67
"MARKAL-NETL","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2","United States",3385.68
"MARKAL-NETL","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",249.28
"MARKAL-NETL","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",1074.38
"MARKAL-NETL","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1283.52
"MARKAL-NETL","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",749.4
"MARKAL-NETL","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2","United States",4171.2
"MARKAL-NETL","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",278.08
"MARKAL-NETL","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",1080.08
"MARKAL-NETL","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1403.91
"MARKAL-NETL","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1379.59
"MARKAL-NETL","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2","United States",4163.41
"MARKAL-NETL","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",274.45
"MARKAL-NETL","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",1107.08
"MARKAL-NETL","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1322.3
"MARKAL-NETL","No IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",1430.05
"NEMS-EIA","IRA","Mt CO2/yr",2030,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2","United States",4007.489174
"NEMS-EIA","IRA","Mt CO2/yr",2030,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Demand|Buildings","United States",574.227325
"NEMS-EIA","IRA","Mt CO2/yr",2030,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",787.106926017752
"NEMS-EIA","IRA","Mt CO2/yr",2030,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Demand|Transportation","United States",1644.875853
"NEMS-EIA","IRA","Mt CO2/yr",2030,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Supply|Electricity","United States",768.311584
"NEMS-EIA","IRA","Mt CO2/yr",2035,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2","United States",3904.675421
"NEMS-EIA","IRA","Mt CO2/yr",2035,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Demand|Buildings","United States",568.56224
"NEMS-EIA","IRA","Mt CO2/yr",2035,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",812.867345738861
"NEMS-EIA","IRA","Mt CO2/yr",2035,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Demand|Transportation","United States",1574.929811
"NEMS-EIA","IRA","Mt CO2/yr",2035,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Supply|Electricity","United States",714.001099
"NEMS-EIA","No IRA","Mt CO2/yr",2030,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2","United States",4436.179517
"NEMS-EIA","No IRA","Mt CO2/yr",2030,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Demand|Buildings","United States",574.856507
"NEMS-EIA","No IRA","Mt CO2/yr",2030,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",794.125901927798
"NEMS-EIA","No IRA","Mt CO2/yr",2030,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Demand|Transportation","United States",1656.898475
"NEMS-EIA","No IRA","Mt CO2/yr",2030,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Supply|Electricity","United States",1177.160889
"NEMS-EIA","No IRA","Mt CO2/yr",2035,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2","United States",4318.532851
"NEMS-EIA","No IRA","Mt CO2/yr",2035,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Demand|Buildings","United States",570.576843
"NEMS-EIA","No IRA","Mt CO2/yr",2035,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",819.041004492983
"NEMS-EIA","No IRA","Mt CO2/yr",2035,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Demand|Transportation","United States",1593.198601
"NEMS-EIA","No IRA","Mt CO2/yr",2035,"AEO2023 IRA 5cenario outputs by OnL 07-25-23.xlsx","Emissions|CO2|Energy|Supply|Electricity","United States",1100.493042
