scenario,model,variable,unit,year,value,region
Reference,RIO-REPEAT,Emissions|CO2|Other,Mt CO2/yr,2025,NA,United States
IRA,EPS-EI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,1570.042984,United States
Reference,EPS-EI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,1573.981449,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,1538.616566,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,1596.669567,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,1494.42,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,1493.47,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,1636.805226,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,1636.617528,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,1686.795598,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,1692.796356,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,1790.5,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2025,1805.5,United States
IRA,EPS-EI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,525.176,United States
Reference,EPS-EI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,557.617,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,454.8152776,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,533.5372147,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,286.58,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,278.08,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,571.073625,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,571.501767,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,491.9030549,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,516.5242918,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,590,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2030,638,United States
IRA,EPS-EI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,602.7,United States
Reference,EPS-EI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,1201.47,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,679.6590548,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,1274.910283,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,750.5686765,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,1238.945136,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,827.3891986,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,1075.922329,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,1310.53,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,1379.59,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,482.8198467,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,979.598572,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,524.4555177,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,1384.132601,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,999.6662542,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,1125.057415,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,743,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2030,981,United States
IRA,EPS-EI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,838.782358,United States
Reference,EPS-EI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,845.24494,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,1015.736616,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,1208.994119,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,1096.26,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,1090.35,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,815.4119261,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,822.6936819,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,NA,United States
