"","scenario","model","variable","unit","year","value"
"91","IRA","EPS-EI","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",1570.042984
"92","Reference","EPS-EI","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",1573.981449
"93","IRA","GCAM-CGS","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",1538.6165656608
"94","Reference","GCAM-CGS","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",1596.66956680078
"95","IRA","Haiku-RFF","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",NA
"96","Reference","Haiku-RFF","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",NA
"97","IRA","IPM-NRDC","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",NA
"98","Reference","IPM-NRDC","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",NA
"99","IRA","MARKAL-NETL","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",1494.42
"100","Reference","MARKAL-NETL","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",1493.47
"101","IRA","NEMS-RHG","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",1636.8052259969
"102","Reference","NEMS-RHG","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",1636.61752751504
"103","IRA","ReEDS-NREL","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",NA
"104","Reference","ReEDS-NREL","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",NA
"105","IRA","REGEN-EPRI","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",1686.79559783655
"106","Reference","REGEN-EPRI","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",1692.79635567194
"107","IRA","RIO-REPEAT","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",1790.5
"108","Reference","RIO-REPEAT","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2025",1805.5
"109","IRA","EPS-EI","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",525.176
"110","Reference","EPS-EI","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",557.617
"111","IRA","GCAM-CGS","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",454.815277598077
"112","Reference","GCAM-CGS","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",533.537214700852
"113","IRA","Haiku-RFF","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",NA
"114","Reference","Haiku-RFF","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",NA
"115","IRA","IPM-NRDC","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",NA
"116","Reference","IPM-NRDC","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",NA
"117","IRA","MARKAL-NETL","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",286.58
"118","Reference","MARKAL-NETL","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",278.08
"119","IRA","NEMS-RHG","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",571.073624999999
"120","Reference","NEMS-RHG","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",571.501766999999
"121","IRA","ReEDS-NREL","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",NA
"122","Reference","ReEDS-NREL","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",NA
"123","IRA","REGEN-EPRI","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",491.903054886779
"124","Reference","REGEN-EPRI","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",516.524291760345
"125","IRA","RIO-REPEAT","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",590
