"variable","unit","model","year","value","version"
"Wind Onshore","Capital Costs (2020$/kW)","ReEDS-NREL","2030",913.0689167,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","ReEDS-NREL","2035",867.4164296,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","REGEN-EPRI","2025",1181.337256,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","REGEN-EPRI","2030",1121.5442,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","REGEN-EPRI","2035",1064.772766,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","RIO-REPEAT","2025",1094.93,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","RIO-REPEAT","2030",939.23,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","RIO-REPEAT","2035",893.54,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2020",1462,"Advanced"
"Wind Onshore","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2025",1081,"Advanced"
"Wind Onshore","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2030",704.3615696,"Advanced"
"Wind Onshore","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2035",660.3389715,"Advanced"
"Wind Onshore","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2020",1462,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2025",1206,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2030",955.919273,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2035",908.1233094,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2020",1462,"Conservative"
"Wind Onshore","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2025",1231,"Conservative"
"Wind Onshore","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2030",1006.230814,"Conservative"
"Wind Onshore","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2035",981.0750434,"Conservative"
"NGCC","Capital Costs (2020$/kW)","EPS-EI","2025",940.762,"Moderate"
"NGCC","Capital Costs (2020$/kW)","EPS-EI","2030",912.254,"Moderate"
"NGCC","Capital Costs (2020$/kW)","EPS-EI","2035",891.422,"Moderate"
"NGCC","Capital Costs (2020$/kW)","GCAM-CGS","2025",1097,"Moderate"
"NGCC","Capital Costs (2020$/kW)","GCAM-CGS","2030",998,"Moderate"
"NGCC","Capital Costs (2020$/kW)","GCAM-CGS","2035",937,"Moderate"
"NGCC","Capital Costs (2020$/kW)","Haiku-RFF","2025",1058.836799,"Moderate"
"NGCC","Capital Costs (2020$/kW)","Haiku-RFF","2030",980.8337643,"Moderate"
"NGCC","Capital Costs (2020$/kW)","Haiku-RFF","2035",908.7822696,"Moderate"
"NGCC","Capital Costs (2020$/kW)","MARKAL-NETL","2025",787.5431,"Moderate"
"NGCC","Capital Costs (2020$/kW)","MARKAL-NETL","2030",787.5431,"Moderate"
"NGCC","Capital Costs (2020$/kW)","MARKAL-NETL","2035",774.0897,"Moderate"
"NGCC","Capital Costs (2020$/kW)","NEMS-RHG","2025",960.8989361,"Moderate"
"NGCC","Capital Costs (2020$/kW)","NEMS-RHG","2030",890.5736096,"Moderate"
"NGCC","Capital Costs (2020$/kW)","NEMS-RHG","2035",847.9842333,"Moderate"
"NGCC","Capital Costs (2020$/kW)","ReEDS-NREL","2025",858.0002275,"Moderate"
"NGCC","Capital Costs (2020$/kW)","ReEDS-NREL","2030",832.0005527,"Moderate"
"NGCC","Capital Costs (2020$/kW)","ReEDS-NREL","2035",812.999684,"Moderate"
"NGCC","Capital Costs (2020$/kW)","REGEN-EPRI","2025",854.7058388,"Moderate"
"NGCC","Capital Costs (2020$/kW)","REGEN-EPRI","2030",720.8822369,"Moderate"
"NGCC","Capital Costs (2020$/kW)","REGEN-EPRI","2035",720.8822369,"Moderate"
"NGCC","Capital Costs (2020$/kW)","RIO-REPEAT","2025",1016.35,"Moderate"
"NGCC","Capital Costs (2020$/kW)","RIO-REPEAT","2030",992.49,"Moderate"
"NGCC","Capital Costs (2020$/kW)","RIO-REPEAT","2035",972.52,"Moderate"
"NGCC","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2020",1038,"Advanced"
"NGCC","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2025",941,"Advanced"
"NGCC","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2030",912,"Advanced"
"NGCC","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2035",891,"Advanced"
"NGCC","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2020",1038,"Moderate"
"NGCC","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2025",941,"Moderate"
"NGCC","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2030",912,"Moderate"
"NGCC","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2035",891,"Moderate"
"NGCC","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2020",1038,"Conservative"
"NGCC","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2025",941,"Conservative"
"NGCC","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2030",912,"Conservative"
"NGCC","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2035",891,"Conservative"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","EPS-EI","2025",1103.54,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","EPS-EI","2030",911.172,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","EPS-EI","2035",832.02,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","GCAM-CGS","2025",1034,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","GCAM-CGS","2030",842,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","GCAM-CGS","2035",790,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","Haiku-RFF","2025",1147.080898,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","Haiku-RFF","2030",929.624804,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","Haiku-RFF","2035",871.9853479,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","IPM-NRDC","2025",1103.976822,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","IPM-NRDC","2030",894.6921166,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","IPM-NRDC","2035",839.2185893,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NEMS-RHG","2025",1104.724771,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NEMS-RHG","2030",895.3118545,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NEMS-RHG","2035",839.4792473,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","ReEDS-NREL","2025",1103.97745,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","ReEDS-NREL","2030",894.6925991,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","ReEDS-NREL","2035",839.2184996,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","REGEN-EPRI","2025",1115.062706,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","REGEN-EPRI","2030",532.8937062,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","REGEN-EPRI","2035",499.5878495,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","RIO-REPEAT","2025",715.65,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","RIO-REPEAT","2030",482.45,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","RIO-REPEAT","2035",432.19,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2020",1727.234445,"Advanced"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2025",1005.200615,"Advanced"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2030",679.9886512,"Advanced"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2035",637.4893605,"Advanced"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2020",1727.234445,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2025",1103.976822,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2030",894.6921166,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2035",839.2185893,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2020",1727.234445,"Conservative"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2025",1312.257623,"Conservative"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2030",1173.725763,"Conservative"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2035",1173.725763,"Conservative"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","OP-NEMS-Mod","2025",960.7947829,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","OP-NEMS-Mod","2030",735.5072246,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","OP-NEMS-Mod","2035",702.7371567,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","OP-NEMS-Adv","2025",902.5370414,"Advanced"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","OP-NEMS-Adv","2030",604.4271881,"Advanced"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","OP-NEMS-Adv","2035",567.2581881,"Advanced"
"Wind Onshore","Capital Costs (2020$/kW)","OP-NEMS-Mod","2025",1160.974416,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","OP-NEMS-Mod","2030",914.532081,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","OP-NEMS-Mod","2035",868.8054273,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","OP-NEMS-Adv","2025",1040.641209,"Advanced"
"Wind Onshore","Capital Costs (2020$/kW)","OP-NEMS-Adv","2030",673.8657254,"Advanced"
"Wind Onshore","Capital Costs (2020$/kW)","OP-NEMS-Adv","2035",631.7491617,"Advanced"
"NGCC","Capital Costs (2020$/kW)","OP-NEMS-Mod","2025",967.2227112,"Moderate"
"NGCC","Capital Costs (2020$/kW)","OP-NEMS-Mod","2030",894.9873875,"Moderate"
"NGCC","Capital Costs (2020$/kW)","OP-NEMS-Mod","2035",854.4868466,"Moderate"
"NGCC","Capital Costs (2020$/kW)","OP-NEMS-Adv","2025",967.7612288,"Advanced"
"NGCC","Capital Costs (2020$/kW)","OP-NEMS-Adv","2030",894.991562,"Advanced"
"NGCC","Capital Costs (2020$/kW)","OP-NEMS-Adv","2035",852.5324718,"Advanced"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","OP-NEMS-Mod","2025",871.9909009,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","OP-NEMS-Mod","2030",699.6911045,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","OP-NEMS-Mod","2035",682.6985774,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","OP-NEMS-Adv","2025",1006.810806,"Advanced"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","OP-NEMS-Adv","2030",681.0778501,"Advanced"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","OP-NEMS-Adv","2035",638.5105612,"Advanced"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","IPM-EPA","2030",768.1517445,"Moderate"
"Utility-Scale Solar PV","Capital Costs (2020$/kW)","IPM-EPA","2035",734.7538426,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","IPM-EPA","2030",920.9724473,"Moderate"
"Wind Onshore","Capital Costs (2020$/kW)","IPM-EPA","2035",875.4298538,"Moderate"
"NGCC","Capital Costs (2020$/kW)","IPM-EPA","2030",988.7803088,"Moderate"
"NGCC","Capital Costs (2020$/kW)","IPM-EPA","2035",915.9121592,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","IPM-EPA","2030",793.4531854,"Moderate"
"Battery Storage (4-Hour)","Capital Costs (2020$/kW)","IPM-EPA","2035",743.8623613,"Moderate"
