"model","year","scenario","variable_rename","diff","figure_num"
"RIO-REPEAT",2025,"IRA","Other",0,"Ap.15.OtherGen"
"RIO-REPEAT",2030,"IRA","Other",-0.0272966399999999,"Ap.15.OtherGen"
"RIO-REPEAT",2035,"IRA","Other",-0.0887140799999999,"Ap.15.OtherGen"
"ReEDS-NREL",2025,"IRA","Other",-0.00226869483540004,"Ap.15.OtherGen"
"ReEDS-NREL",2030,"IRA","Other",0.00164628689680013,"Ap.15.OtherGen"
"ReEDS-NREL",2035,"IRA","Other",-0.00550824490579993,"Ap.15.OtherGen"
"AEO.2023",2022,"IRA","Other",0.000844588750319987,"Ap.15.OtherGen"
"AEO.2023",2023,"IRA","Other",0.0047846949544799,"Ap.15.OtherGen"
"AEO.2023",2024,"IRA","Other",-0.00114068222856016,"Ap.15.OtherGen"
"AEO.2023",2025,"IRA","Other",-0.00340159809023997,"Ap.15.OtherGen"
"AEO.2023",2026,"IRA","Other",-0.00487698489432009,"Ap.15.OtherGen"
"AEO.2023",2027,"IRA","Other",-0.00851576690159986,"Ap.15.OtherGen"
"AEO.2023",2028,"IRA","Other",-0.0175439087963997,"Ap.15.OtherGen"
"AEO.2023",2029,"IRA","Other",-0.0308697599397603,"Ap.15.OtherGen"
"AEO.2023",2030,"IRA","Other",-0.0351844545225601,"Ap.15.OtherGen"
"AEO.2023",2031,"IRA","Other",-0.0404786344384802,"Ap.15.OtherGen"
"AEO.2023",2032,"IRA","Other",-0.0505902175077598,"Ap.15.OtherGen"
"AEO.2023",2033,"IRA","Other",-0.0550494546235201,"Ap.15.OtherGen"
"AEO.2023",2034,"IRA","Other",-0.0577275143255999,"Ap.15.OtherGen"
"AEO.2023",2035,"IRA","Other",-0.0545735684138398,"Ap.15.OtherGen"
"USREP-ReEDS",2021,"Historic","Other",0,"Ap.15.OtherGen"
"EPS-EI",2021,"Historic","Other",0,"Ap.15.OtherGen"
"GCAM-CGS",2021,"Historic","Other",0,"Ap.15.OtherGen"
"GCAM-PNNL",2021,"Historic","Other",0,"Ap.15.OtherGen"
"Haiku-RFF",2021,"Historic","Other",0,"Ap.15.OtherGen"
"IPM-NRDC",2021,"Historic","Other",0,"Ap.15.OtherGen"
"MARKAL-NETL",2021,"Historic","Other",0,"Ap.15.OtherGen"
"NEMS-RHG",2021,"Historic","Other",0,"Ap.15.OtherGen"
"OP-NEMS",2021,"Historic","Other",0,"Ap.15.OtherGen"
"REGEN-EPRI",2021,"Historic","Other",0,"Ap.15.OtherGen"
"RIO-REPEAT",2021,"Historic","Other",0,"Ap.15.OtherGen"
"ReEDS-NREL",2021,"Historic","Other",0,"Ap.15.OtherGen"
"AEO.2023",2021,"Historic","Other",0,"Ap.15.OtherGen"
