"figure_num","model","scenario","variable","unit","year","label","value"
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2014,"Other Sectors",4.4
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2014,"Other Sectors",363.4
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2015,"Buildings: Direct",561.9
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2015,"Buildings: Indirect",1346.8
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2015,"Other Sectors",798
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2015,"Other Sectors",549.5
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2015,"Other Sectors",1718.2
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2015,"Other Sectors",4.3
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2015,"Other Sectors",369
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2016,"Buildings: Direct",524.3
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2016,"Buildings: Indirect",1287.1
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2016,"Other Sectors",792.9
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2016,"Other Sectors",517.6
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2016,"Other Sectors",1757.7
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2016,"Other Sectors",4.2
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2016,"Other Sectors",342.9
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2017,"Buildings: Direct",525.4
