"figure_num","model","scenario","variable","unit","year","label","value","pct_diff"
"1.3X.summary_ranges_main","MARKAL-NETL","IRA","Industry","Mt CO2/yr",2030,"Total Industry Emissions",1314.64620977431,1.60750326103907
"1.3X.summary_ranges_main","MARKAL-NETL","IRA","Industry","Mt CO2/yr",2035,"Total Industry Emissions",1222.2666622171,10.6520932727815
"1.3X.summary_ranges_main","NEMS-EIA","IRA","Industry","Mt CO2/yr",2030,"Total Industry Emissions",990.184425017752,10.8076573932948
"1.3X.summary_ranges_main","NEMS-EIA","IRA","Industry","Mt CO2/yr",2035,"Total Industry Emissions",1000.38892173886,10.2677024118516
"1.3X.summary_ranges_main","NEMS-OP","IRA","Industry","Mt CO2/yr",2030,"Total Industry Emissions",1128.404297,10.6827921669911
"1.3X.summary_ranges_main","NEMS-OP","IRA","Industry","Mt CO2/yr",2035,"Total Industry Emissions",1055.642578,14.4139433235589
"1.3X.summary_ranges_main","NEMS-RHG","IRA","Industry","Mt CO2/yr",2030,"Total Industry Emissions",937.684138612776,12.4266771963464
"1.3X.summary_ranges_main","NEMS-RHG","IRA","Industry","Mt CO2/yr",2035,"Total Industry Emissions",844.772202018129,19.5343771859101
"1.3X.summary_ranges_main","REGEN-EPRI","IRA","Industry","Mt CO2/yr",2030,"Total Industry Emissions",1279.63544614596,4.70654945607076
"1.3X.summary_ranges_main","REGEN-EPRI","IRA","Industry","Mt CO2/yr",2035,"Total Industry Emissions",1044.22398984278,20.0198468179501
"1.3X.summary_ranges_main","RIO-REPEAT","IRA","Industry","Mt CO2/yr",2030,"Total Industry Emissions",911.216300940439,14.7943793653842
"1.3X.summary_ranges_main","RIO-REPEAT","IRA","Industry","Mt CO2/yr",2035,"Total Industry Emissions",688.092322643343,32.5722299278783
"1.3X.summary_ranges_main","USREP-ReEDS","IRA","Industry","Mt CO2/yr",2030,"Total Industry Emissions",1037.57958193,15.1170906988733
"1.3X.summary_ranges_main","USREP-ReEDS","IRA","Industry","Mt CO2/yr",2035,"Total Industry Emissions",1037.94050988,12.2808997131637
"1.3X.summary_ranges_main","EPS-EI","IRA","Buildings","Mt CO2/yr",2030,"Total Building Emissions",919.184219686818,34.181978805244
"1.3X.summary_ranges_main","EPS-EI","IRA","Buildings","Mt CO2/yr",2035,"Total Building Emissions",723.352579489139,46.7659966985562
"1.3X.summary_ranges_main","GCAM-CGS","IRA","Buildings","Mt CO2/yr",2030,"Total Building Emissions",924.91011011443,37.4767663461797
"1.3X.summary_ranges_main","GCAM-CGS","IRA","Buildings","Mt CO2/yr",2035,"Total Building Emissions",752.928841692926,47.3092922886141
"1.3X.summary_ranges_main","GCAM-PNNL","IRA","Buildings","Mt CO2/yr",2030,"Total Building Emissions",1039.45558035695,22.7890786514714
"1.3X.summary_ranges_main","GCAM-PNNL","IRA","Buildings","Mt CO2/yr",2035,"Total Building Emissions",974.247574611141,22.7418090562018
"1.3X.summary_ranges_main","MARKAL-NETL","IRA","Buildings","Mt CO2/yr",2030,"Total Building Emissions",1140.93267345267,12.03121405751
"1.3X.summary_ranges_main","MARKAL-NETL","IRA","Buildings","Mt CO2/yr",2035,"Total Building Emissions",778.095057055452,41.7380774634765
"1.3X.summary_ranges_main","NEMS-EIA","IRA","Buildings","Mt CO2/yr",2030,"Total Building Emissions",1127.282226,20.656485931154
"1.3X.summary_ranges_main","NEMS-EIA","IRA","Buildings","Mt CO2/yr",2035,"Total Building Emissions",1077.198486,20.3866014624428
"1.3X.summary_ranges_main","NEMS-OP","IRA","Buildings","Mt CO2/yr",2030,"Total Building Emissions",996.583252,23.1655635782356
"1.3X.summary_ranges_main","NEMS-OP","IRA","Buildings","Mt CO2/yr",2035,"Total Building Emissions",809.16452,33.3762562641097
"1.3X.summary_ranges_main","NEMS-RHG","IRA","Buildings","Mt CO2/yr",2030,"Total Building Emissions",915.68476129121,28.5214427616163
"1.3X.summary_ranges_main","NEMS-RHG","IRA","Buildings","Mt CO2/yr",2035,"Total Building Emissions",967.475102907779,20.1013581798574
"1.3X.summary_ranges_main","REGEN-EPRI","IRA","Buildings","Mt CO2/yr",2030,"Total Building Emissions",1071.83240715325,9.2129762047499
"1.3X.summary_ranges_main","REGEN-EPRI","IRA","Buildings","Mt CO2/yr",2035,"Total Building Emissions",737.820543108383,33.203636938896
"1.3X.summary_ranges_main","RIO-REPEAT","IRA","Buildings","Mt CO2/yr",2030,"Total Building Emissions",1091.90886699507,17.1218130160804
"1.3X.summary_ranges_main","RIO-REPEAT","IRA","Buildings","Mt CO2/yr",2035,"Total Building Emissions",759.975704567541,32.9458257918204
"1.3X.summary_ranges_main","USREP-ReEDS","IRA","Buildings","Mt CO2/yr",2030,"Total Building Emissions",826.8316008,35.229920056105
"1.3X.summary_ranges_main","USREP-ReEDS","IRA","Buildings","Mt CO2/yr",2035,"Total Building Emissions",666.1815082,41.3976172508619
