"figure_num","model","scenario","variable","unit","year","label","value"
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2010,"Nuclear",806.950778278633
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2011,"Nuclear",790.187208130739
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2012,"Nuclear",769.314543322418
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2013,"Nuclear",788.999340036253
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2014,"Nuclear",797.148671963446
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2015,"Nuclear",797.160566705153
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2016,"Nuclear",805.67645289489
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2017,"Nuclear",804.932156001646
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2018,"Nuclear",807.066951589278
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2019,"Nuclear",809.391686107967
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2020,"Nuclear",789.861711309972
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Nuclear|Sum","TWh",2021,"Nuclear",778.134602907068
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2005,"Petroleum",122.222362901536
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2006,"Petroleum",64.1650205537111
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2007,"Petroleum",65.7375505730905
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2008,"Petroleum",46.2416078138716
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2009,"Petroleum",38.9356695169387
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2010,"Petroleum",37.0602082978937
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2011,"Petroleum",30.1815896106592
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2012,"Petroleum",23.1890383974548
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2013,"Petroleum",27.1638540292885
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2014,"Petroleum",30.2312054777014
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2015,"Petroleum",28.248135484256
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2016,"Petroleum",24.2042805182693
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2017,"Petroleum",21.3894805301783
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2018,"Petroleum",25.2250802961777
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2019,"Petroleum",18.3403447973246
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2020,"Petroleum",17.3406384502639
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Oil|Sum","TWh",2021,"Petroleum",18.7813741093186
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2005,"Other",67.7394829347198
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2006,"Other",69.0359300603148
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2007,"Other",68.9904338260374
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2008,"Other",66.7390388259017
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2009,"Other",65.1234269642613
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2010,"Other",67.4006902915585
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2011,"Other",68.2355482738358
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2012,"Other",69.5182412536558
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2013,"Other",73.7093632995346
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2014,"Other",76.0095794617473
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2015,"Other",76.74690956183
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2016,"Other",75.5662490886094
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2017,"Other",75.2007461921245
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2018,"Other",75.2930377991352
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2019,"Other",70.0965248074139
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2020,"Other",66.5286503389051
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Other|Sum","TWh",2021,"Other",66.7607602986672
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2005,"Renewables",303.367255196806
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2006,"Renewables",330.904102515482
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2007,"Renewables",297.202453231355
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2008,"Renewables",325.891700248042
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2009,"Renewables",363.223175433188
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2010,"Renewables",371.278647731864
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2011,"Renewables",456.655350732172
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2012,"Renewables",436.941539092837
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2013,"Renewables",461.205406928286
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2014,"Renewables",474.579570676705
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2015,"Renewables",480.598675805944
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2016,"Renewables",546.672772126542
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2017,"Renewables",623.835717376433
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2018,"Renewables",644.969886228449
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2019,"Renewables",671.151179927243
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2020,"Renewables",728.284541228087
"2.2.historic_generation","EIA","Historic","Secondary Energy|Electricity|Renewables|Sum","TWh",2021,"Renewables",770.891514912016
