"model","scenario","variable_rename","year","value"
"REGEN-EPRI","No IRA","Total Transportation Emissions",2030,1595.66732239906
"REGEN-EPRI","No IRA","Total Transportation Emissions",2035,1472.85569929252
"REGEN-EPRI","No IRA","Total Transportation Emissions",2021,1757.4
"REGEN-EPRI","IRA","Total Transportation Emissions",2025,1732.86935379878
"REGEN-EPRI","IRA","Total Transportation Emissions",2030,1569.14666069388
"REGEN-EPRI","IRA","Total Transportation Emissions",2035,1376.14761897839
"REGEN-EPRI","IRA","Total Transportation Emissions",2021,1757.4
"RIO-REPEAT","No IRA","Total Transportation Emissions",2025,1838.98436721475
"RIO-REPEAT","No IRA","Total Transportation Emissions",2030,1663.08141962422
"RIO-REPEAT","No IRA","Total Transportation Emissions",2035,1446.13628727425
"RIO-REPEAT","No IRA","Total Transportation Emissions",2021,1757.4
"RIO-REPEAT","IRA","Total Transportation Emissions",2025,1829.6000371425
"RIO-REPEAT","IRA","Total Transportation Emissions",2030,1583.87483206449
"RIO-REPEAT","IRA","Total Transportation Emissions",2035,1204.93197278912
"RIO-REPEAT","IRA","Total Transportation Emissions",2021,1757.4
"AEO.2023","No IRA","Total Transportation Emissions",2025,1741.17627
"AEO.2023","No IRA","Total Transportation Emissions",2030,1672.112427
"AEO.2023","No IRA","Total Transportation Emissions",2035,1615.413452
"AEO.2023","No IRA","Total Transportation Emissions",2022,1778.925049
"AEO.2023","No IRA","Total Transportation Emissions",2023,1774.28125
"AEO.2023","No IRA","Total Transportation Emissions",2024,1763.679321
"AEO.2023","No IRA","Total Transportation Emissions",2026,1730.514038
"AEO.2023","No IRA","Total Transportation Emissions",2027,1719.85144
"AEO.2023","No IRA","Total Transportation Emissions",2028,1706.725342
"AEO.2023","No IRA","Total Transportation Emissions",2029,1691.203857
"AEO.2023","No IRA","Total Transportation Emissions",2031,1654.459106
"AEO.2023","No IRA","Total Transportation Emissions",2032,1639.921631
"AEO.2023","No IRA","Total Transportation Emissions",2033,1629.517456
"AEO.2023","No IRA","Total Transportation Emissions",2034,1621.873047
"AEO.2023","No IRA","Total Transportation Emissions",2021,1757.4
"AEO.2023","IRA","Total Transportation Emissions",2025,1731.996338
"AEO.2023","IRA","Total Transportation Emissions",2030,1657.054932
"AEO.2023","IRA","Total Transportation Emissions",2035,1592.773071
"AEO.2023","IRA","Total Transportation Emissions",2022,1778.743774
"AEO.2023","IRA","Total Transportation Emissions",2023,1766.850586
"AEO.2023","IRA","Total Transportation Emissions",2024,1753.365356
"AEO.2023","IRA","Total Transportation Emissions",2026,1717.358398
"AEO.2023","IRA","Total Transportation Emissions",2027,1702.410156
"AEO.2023","IRA","Total Transportation Emissions",2028,1694.913574
"AEO.2023","IRA","Total Transportation Emissions",2029,1677.163818
"AEO.2023","IRA","Total Transportation Emissions",2031,1639.307983
"AEO.2023","IRA","Total Transportation Emissions",2032,1624.935791
"AEO.2023","IRA","Total Transportation Emissions",2033,1613.014038
"AEO.2023","IRA","Total Transportation Emissions",2034,1602.519531
"AEO.2023","IRA","Total Transportation Emissions",2021,1757.4
"EPA-GHGI","Historic","Total Transportation Emissions",2021,1757.4
