"model","scenario","unit","datasrc","variable","region","figure_type","figure_no","title_name","variable_rename","flip_sign","regions","models","years","scenarios","type","x","y","facet1","facet2","color","page_filter","scales","alpha","year","value"
"NEMS-RHG","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"NEMS-RHG","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"REGEN-EPRI","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"REGEN-EPRI","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"RIO-REPEAT","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"RIO-REPEAT","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"USREP-ReEDS","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"USREP-ReEDS","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2021,1637
"EPS-EI","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2025,1386.23174989503
"EPS-EI","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2030,919.184219686818
"EPS-EI","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2035,723.352579489139
"EPS-EI","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2025,1535.07752905601
"EPS-EI","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2030,1396.55401818743
"EPS-EI","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2035,1358.81679871617
"GCAM-CGS","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2025,1250.41035392994
"GCAM-CGS","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2030,924.91011011443
"GCAM-CGS","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2035,752.928841692926
"GCAM-CGS","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2025,1559.68701164041
"GCAM-CGS","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2030,1479.30626115004
"GCAM-CGS","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2035,1428.95943971203
"GCAM-PNNL","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2025,1279.29474111474
"GCAM-PNNL","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2030,1039.45558035695
"GCAM-PNNL","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2035,974.247574611141
"GCAM-PNNL","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2025,1391.5012
"GCAM-PNNL","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2030,1346.2546
"GCAM-PNNL","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2035,1261.0282
"MARKAL-NETL","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2025,1323.26664606733
"MARKAL-NETL","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2030,1140.93267345267
"MARKAL-NETL","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2035,778.095057055452
"MARKAL-NETL","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2025,1348.87089897245
"MARKAL-NETL","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2030,1296.97444522943
"MARKAL-NETL","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2035,1335.51215473138
"NEMS-EIA","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2025,1502.789795
"NEMS-EIA","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2030,1127.282226
"NEMS-EIA","IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2035,1077.198486
"NEMS-EIA","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2025,1528.168823
"NEMS-EIA","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2030,1420.761658
"NEMS-EIA","No IRA","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Buildings|Total","United States","timeseries",23,"Total Building Emissions","Total Building Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2035,1353.036682
