"model","scenario","unit","datasrc","variable","region","figure_type","figure_no","title_name","variable_rename","flip_sign","regions","models","years","scenarios","type","x","y","facet1","facet2","color","page_filter","scales","alpha","year","value",".group"
"EPA-GHGI","Historic","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2008,1764.4,1
"EPA-GHGI","Historic","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2009,1693,1
"EPA-GHGI","Historic","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2010,1701.1,1
"EPA-GHGI","Historic","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2011,1674.7,1
"EPA-GHGI","Historic","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2012,1663.4,1
"EPA-GHGI","Historic","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2013,1673.3,1
"EPA-GHGI","Historic","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2014,1711.6,1
"EPA-GHGI","Historic","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2015,1722.5,1
"EPA-GHGI","Historic","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2016,1761.9,1
"EPA-GHGI","Historic","Mt CO2/yr","make_summation_variables","Emissions|CO2|Energy|Demand|Transportation|Total","United States","timeseries",19,"Total Transportation Emissions","Total Transportation Emissions",0,"usa","models_leep","historic","hist_mod_scenarios2","single","year","value",NA,NA,"scenario","region","fixed",1,2017,1784.4,1
