"model","scenario","unit","region","category","year","value","value_2005","percent diff 2005"
"GCAM-PNNL","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2035,3788,6132.18327,38.227547462064
"MARKAL-NETL","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3978.59,6132.18327,35.1195190224639
"MARKAL-NETL","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3385.68,6132.18327,44.7883428963466
"MARKAL-NETL","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2030,4171.2,6132.18327,31.9785496234851
"MARKAL-NETL","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2035,4163.41,6132.18327,32.1055843133664
"NEMS-EIA","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,4007.489174,6132.18327,34.6482484695863
"NEMS-EIA","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3904.675421,6132.18327,36.3248740444119
"NEMS-EIA","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2030,4436.179517,6132.18327,27.6574211553204
"NEMS-EIA","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2035,4318.532851,6132.18327,29.5759330591566
"NEMS-RHG","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3731.42341620699,6132.18327,39.150164763308
"NEMS-RHG","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3572.57563575272,6132.18327,41.7405599530831
"NEMS-RHG","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2030,4267.33793080568,6132.18327,30.4107893891162
"NEMS-RHG","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2035,4069.21513053717,6132.18327,33.6416582582476
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3693,6132.18327,39.7767509972023
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,2763,6132.18327,54.9426382359247
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3570,6132.18327,41.7825618900656
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,2586,6132.18327,57.8290490329719
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3735,6132.18327,39.0918399606149
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,2987,6132.18327,51.2897793741249
"RIO-REPEAT","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2030,4156,6132.18327,32.2264221891072
"RIO-REPEAT","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2035,3710,6132.18327,39.4995251014408
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3325.313438,6132.18327,45.7727649095524
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,2947.398068,6132.18327,51.9355841431008
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3714.214007,6132.18327,39.4308055799513
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3492.97627,6132.18327,43.038619098545
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3493.680895,6132.18327,43.0271284928508
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3231.66939,6132.18327,47.2998563854077
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3477.093537,6132.18327,43.2976252681372
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3208.064153,6132.18327,47.6847965602307
