"figure_num","model","scenario","unit","variable","label","year","value"
"E.18.GenerationbyModel","GCAM-CGS","No IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2035,617.928972219063
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,47.135759660143
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,157.219382242636
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,218.884934995048
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Gas|w/ CCS","Gas w/ CCS",2030,156.663836722344
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,1413.53835501377
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Geothermal","Geothermal",2030,75.0219781512723
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2030,258.007006079531
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2030,782.274758033571
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Oil|w/o CCS","Petroleum",2030,16.9910264108186
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2030,822.329868624925
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2030,1641.69972605224
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,65.4284292250058
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,209.996206670376
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,212.640047801446
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Gas|w/ CCS","Gas w/ CCS",2035,228.051436079866
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,1259.65224589289
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Geothermal","Geothermal",2035,89.5919927392104
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2035,260.338075082676
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2035,782.274758033571
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Oil|w/o CCS","Petroleum",2035,22.5537314827785
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2035,1035.92662414459
"E.18.GenerationbyModel","GCAM-PNNL","IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2035,2054.11760955112
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,45.1259904086587
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,0
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,477.846923823961
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Gas|w/ CCS","Gas w/ CCS",2030,0
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,1863.1691218621
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Geothermal","Geothermal",2030,61.0436195424451
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2030,258.007006079531
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2030,782.274758033571
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Oil|w/o CCS","Petroleum",2030,18.3763347202188
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2030,677.929142911966
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2030,1223.2212373087
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,66.6453239099294
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,0
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,411.778672823235
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Gas|w/ CCS","Gas w/ CCS",2035,0
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,1884.75762078065
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Geothermal","Geothermal",2035,73.9653305716769
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2035,260.338075082676
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2035,782.274758033571
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Oil|w/o CCS","Petroleum",2035,25.7522570385836
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2035,894.725782296236
"E.18.GenerationbyModel","GCAM-PNNL","No IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2035,1600.99774656246
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,41.8108902077621
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,5.24593875680762
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,562.27866447692
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,712.879702959371
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2030,292.25057060589
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2030,704.976853800082
