"model","scenario","variable_rename","year","value","figure_num"
"OP-NEMS","IRA","Total Industry Emissions",2034,1079.847412,"Ap.5.IndEmis"
"OP-NEMS","IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"REGEN-EPRI","No IRA","Total Industry Emissions",2025,1405.3217271,"Ap.5.IndEmis"
"REGEN-EPRI","No IRA","Total Industry Emissions",2030,1342.8367205,"Ap.5.IndEmis"
"REGEN-EPRI","No IRA","Total Industry Emissions",2035,1305.6038884,"Ap.5.IndEmis"
"REGEN-EPRI","No IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"REGEN-EPRI","IRA","Total Industry Emissions",2025,1389.5173745,"Ap.5.IndEmis"
"REGEN-EPRI","IRA","Total Industry Emissions",2030,1279.6354461,"Ap.5.IndEmis"
"REGEN-EPRI","IRA","Total Industry Emissions",2035,1044.2239898,"Ap.5.IndEmis"
"REGEN-EPRI","IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"RIO-REPEAT","No IRA","Total Industry Emissions",2025,1176.8446687,"Ap.5.IndEmis"
"RIO-REPEAT","No IRA","Total Industry Emissions",2030,1069.4321503,"Ap.5.IndEmis"
"RIO-REPEAT","No IRA","Total Industry Emissions",2035,1020.4880302,"Ap.5.IndEmis"
"RIO-REPEAT","No IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"RIO-REPEAT","IRA","Total Industry Emissions",2025,1143.8880154,"Ap.5.IndEmis"
"RIO-REPEAT","IRA","Total Industry Emissions",2030,911.2163009,"Ap.5.IndEmis"
"RIO-REPEAT","IRA","Total Industry Emissions",2035,688.09232264,"Ap.5.IndEmis"
"RIO-REPEAT","IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2025,1330.928101,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2030,1331.838379,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2035,1338.454346,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2022,1392.48645,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2023,1373.731689,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2024,1342.744385,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2026,1335.197998,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2027,1334.293945,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2028,1335.599365,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2029,1335.988525,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2031,1324.355713,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2032,1325.81897,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2033,1330.183594,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2034,1335.602783,"Ap.5.IndEmis"
"AEO.2023","No IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
