"figure_num","model","scenario","variable","unit","label","year","value"
"F.3.1.gen_bytype","NEMS-OP","No IRA","Secondary Energy|Electricity","TWh","Total",2035,4472.569742536
"F.3.1.gen_bytype","REGEN-EPRI","No IRA","Secondary Energy|Electricity","TWh","Total",2035,4020.19034809586
"F.3.1.gen_bytype","RIO-REPEAT","No IRA","Secondary Energy|Electricity","TWh","Total",2035,4834.7278
"F.3.1.gen_bytype","ReEDS-NREL","No IRA","Secondary Energy|Electricity","TWh","Total",2035,4189.46564265844
"F.3.1.gen_bytype","NEMS-EIA","No IRA","Secondary Energy|Electricity","TWh","Total",2035,4432.1335843232
"F.3.1.gen_bytype","USREP-ReEDS","IRA","Secondary Energy|Electricity","TWh","Total",2035,4201.45467325991
"F.3.1.gen_bytype","EPS-EI","IRA","Secondary Energy|Electricity","TWh","Total",2035,5031.9746210216
"F.3.1.gen_bytype","GCAM-CGS","IRA","Secondary Energy|Electricity","TWh","Total",2035,4888.55983089374
"F.3.1.gen_bytype","GCAM-PNNL","IRA","Secondary Energy|Electricity","TWh","Total",2035,5895.96384391556
"F.3.1.gen_bytype","Haiku-RFF","IRA","Secondary Energy|Electricity","TWh","Total",2035,3963.42936647064
"F.3.1.gen_bytype","IPM-NRDC","IRA","Secondary Energy|Electricity","TWh","Total",2035,4147.47471727514
"F.3.1.gen_bytype","IPM-EPA","IRA","Secondary Energy|Electricity","TWh","Total",2035,4550.8655725006
"F.3.1.gen_bytype","MARKAL-NETL","IRA","Secondary Energy|Electricity","TWh","Total",2035,4926.04173971913
"F.3.1.gen_bytype","NEMS-RHG","IRA","Secondary Energy|Electricity","TWh","Total",2035,4256.1538788216
"F.3.1.gen_bytype","NEMS-OP","IRA","Secondary Energy|Electricity","TWh","Total",2035,4716.4970357386
"F.3.1.gen_bytype","REGEN-EPRI","IRA","Secondary Energy|Electricity","TWh","Total",2035,4294.71556509782
"F.3.1.gen_bytype","RIO-REPEAT","IRA","Secondary Energy|Electricity","TWh","Total",2035,5908.5852
"F.3.1.gen_bytype","ReEDS-NREL","IRA","Secondary Energy|Electricity","TWh","Total",2035,4497.10743856869
"F.3.1.gen_bytype","NEMS-EIA","IRA","Secondary Energy|Electricity","TWh","Total",2035,4486.5117668
"F.3.1.gen_bytype","USREP-ReEDS","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2174.29772161702
"F.3.1.gen_bytype","EPS-EI","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2130.04534372
"F.3.1.gen_bytype","GCAM-CGS","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2149.60472289506
"F.3.1.gen_bytype","GCAM-PNNL","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2888.56912030556
"F.3.1.gen_bytype","Haiku-RFF","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2164.92781581099
"F.3.1.gen_bytype","IPM-NRDC","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,1837.33779782309
"F.3.1.gen_bytype","IPM-EPA","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2014.73847536807
