"figure_num","model","scenario","variable","unit","year","variable_rename","value"
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2020,"Water",27.6
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Light-Duty Trucks","Mt CO2/yr",2021,"LD Trucks",654
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Medium- and Heavy-Duty Trucks","Mt CO2/yr",2021,"MHD Trucks",407.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Passenger Cars","Mt CO2/yr",2021,"Passenger Cars",365
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Ships and Boats","Mt CO2/yr",2021,"Water",45
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",1990,"Aircraft",187.2
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",1991,"Aircraft",171.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",1992,"Aircraft",169.3
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",1993,"Aircraft",170.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",1994,"Aircraft",178
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",1995,"Aircraft",174.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",1996,"Aircraft",187
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",1997,"Aircraft",187.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",1998,"Aircraft",190.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",1999,"Aircraft",195
