"figure_num","model","scenario","variable","unit","year","variable_rename","value"
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2006,"Pipelines",42.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2007,"Pipelines",44.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2008,"Pipelines",45.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2009,"Pipelines",46
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2010,"Pipelines",48.2
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2011,"Pipelines",48.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2012,"Pipelines",50.1
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2013,"Pipelines",56.2
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2014,"Pipelines",49.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2015,"Pipelines",49.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2016,"Pipelines",49.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2017,"Pipelines",51.2
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2018,"Pipelines",59.4
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2019,"Pipelines",67
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2020,"Pipelines",65.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Pipelines Total","Mt CO2/yr",2021,"Pipelines",72.2
