"variable","unit","model","year","value","version","figure_num","label"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2035",867.3960319,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2025",1159.11736,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2030",913.0689167,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2035",867.4164296,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","REGEN-EPRI","2025",1181.337256,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","REGEN-EPRI","2030",1121.5442,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","REGEN-EPRI","2035",1064.772766,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2025",1094.93,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2030",939.23,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2035",893.54,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2020",1462,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2025",1081,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2030",704.3615696,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2035",660.3389715,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2020",1462,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2025",1206,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2030",955.919273,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2035",908.1233094,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2020",1462,"Conservative","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2025",1231,"Conservative","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2030",1006.230814,"Conservative","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2035",981.0750434,"Conservative","D.2.capitalcosts_bat_ngcc_sol_wnd","Wind Onshore"
"Capital Cost","Capital Costs (2020$/kW)","EPS-EI","2025",940.762,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","EPS-EI","2030",912.254,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","EPS-EI","2035",891.422,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","GCAM-CGS","2025",1097,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","GCAM-CGS","2030",998,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","GCAM-CGS","2035",937,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2025",1058.836799,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2030",980.8337643,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2035",908.7822696,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","MARKAL-NETL","2025",787.5431,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","MARKAL-NETL","2030",787.5431,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","MARKAL-NETL","2035",774.0897,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2025",960.8989361,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2030",890.5736096,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2035",847.9842333,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2025",858.0002275,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2030",832.0005527,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2035",812.999684,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
