"model","year","scenario","variable_rename","diff","figure_num"
"ReEDS-NREL",2030,"IRA","Solar",1.6782596161492,"Ap.10.SolarGen"
"ReEDS-NREL",2035,"IRA","Solar",2.3414087358536,"Ap.10.SolarGen"
"AEO.2023",2022,"IRA","Solar",-3.54173904004718e-06,"Ap.10.SolarGen"
"AEO.2023",2023,"IRA","Solar",0.000648824072400078,"Ap.10.SolarGen"
"AEO.2023",2024,"IRA","Solar",0.0071447692730402,"Ap.10.SolarGen"
"AEO.2023",2025,"IRA","Solar",0.26196033674664,"Ap.10.SolarGen"
"AEO.2023",2026,"IRA","Solar",0.58999328247888,"Ap.10.SolarGen"
"AEO.2023",2027,"IRA","Solar",0.88455216750264,"Ap.10.SolarGen"
"AEO.2023",2028,"IRA","Solar",1.05417756931032,"Ap.10.SolarGen"
"AEO.2023",2029,"IRA","Solar",1.15893471377376,"Ap.10.SolarGen"
"AEO.2023",2030,"IRA","Solar",1.19987654830848,"Ap.10.SolarGen"
"AEO.2023",2031,"IRA","Solar",1.07942412928392,"Ap.10.SolarGen"
"AEO.2023",2032,"IRA","Solar",0.96742964240496,"Ap.10.SolarGen"
"AEO.2023",2033,"IRA","Solar",1.0415032650792,"Ap.10.SolarGen"
"AEO.2023",2034,"IRA","Solar",1.13792430912552,"Ap.10.SolarGen"
"AEO.2023",2035,"IRA","Solar",1.18048784045472,"Ap.10.SolarGen"
"USREP-ReEDS",2021,"Historic","Solar",0,"Ap.10.SolarGen"
"EPS-EI",2021,"Historic","Solar",0,"Ap.10.SolarGen"
"GCAM-CGS",2021,"Historic","Solar",0,"Ap.10.SolarGen"
"GCAM-PNNL",2021,"Historic","Solar",0,"Ap.10.SolarGen"
"Haiku-RFF",2021,"Historic","Solar",0,"Ap.10.SolarGen"
"IPM-NRDC",2021,"Historic","Solar",0,"Ap.10.SolarGen"
"IPM-EPA",2021,"Historic","Solar",0,"Ap.10.SolarGen"
"MARKAL-NETL",2021,"Historic","Solar",0,"Ap.10.SolarGen"
"NEMS-RHG",2021,"Historic","Solar",0,"Ap.10.SolarGen"
"OP-NEMS",2021,"Historic","Solar",0,"Ap.10.SolarGen"
"REGEN-EPRI",2021,"Historic","Solar",0,"Ap.10.SolarGen"
"RIO-REPEAT",2021,"Historic","Solar",0,"Ap.10.SolarGen"
"ReEDS-NREL",2021,"Historic","Solar",0,"Ap.10.SolarGen"
"AEO.2023",2021,"Historic","Solar",0,"Ap.10.SolarGen"
