"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales"
"EIA","Historic","TWh",2009,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Oil|w/o CCS","United States",38.9356695169387,"stackbar",14,"Hist Generation Mix",0,"Oil","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2009,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Other","United States",29.0740717158235,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2009,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Solar","United States",0.891159537474024,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2009,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Wind","United States",73.8845275514209,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2010,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",37.1713528288489,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2010,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",1847.25016608886,"stackbar",14,"Hist Generation Mix",0,"Coal","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2010,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",987.675786636073,"stackbar",14,"Hist Generation Mix",0,"Natural Gas","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2010,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Geothermal","United States",15.2188825794756,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2010,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Hydro","United States",260.19741873537,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2010,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Nuclear","United States",806.950778278633,"stackbar",14,"Hist Generation Mix",0,"Nuclear","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
