"figure_num","model","scenario","variable","unit","year","variable_rename","value"
1.2,"OP-NEMS","No IRA","Emissions|CO2","Mt CO2/yr",2030,"Total Emissions",4322.660009
1.2,"OP-NEMS","No IRA","Emissions|CO2","Mt CO2/yr",2035,"Total Emissions",4132.557191
1.2,"REGEN-EPRI","IRA","Emissions|CO2","Mt CO2/yr",2021,"Total Emissions",5032.212819
1.2,"REGEN-EPRI","IRA","Emissions|CO2","Mt CO2/yr",2025,"Total Emissions",4525.80548108588
1.2,"REGEN-EPRI","IRA","Emissions|CO2","Mt CO2/yr",2030,"Total Emissions",3991.82357142835
1.2,"REGEN-EPRI","IRA","Emissions|CO2","Mt CO2/yr",2035,"Total Emissions",3229.26076540493
1.2,"REGEN-EPRI","No IRA","Emissions|CO2","Mt CO2/yr",2021,"Total Emissions",5032.212819
1.2,"REGEN-EPRI","No IRA","Emissions|CO2","Mt CO2/yr",2025,"Total Emissions",4560.678187
1.2,"REGEN-EPRI","No IRA","Emissions|CO2","Mt CO2/yr",2030,"Total Emissions",4181.957809
1.2,"REGEN-EPRI","No IRA","Emissions|CO2","Mt CO2/yr",2035,"Total Emissions",3947.736628
