"model","scenario","unit","year","variable","region","value","figure_num"
"ReEDS-NREL","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","usa",387.6,"2.6.power_sensitivities_BW"
"USREP-ReEDS","All-Adv","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",432.2378221,"2.6.power_sensitivities_BW"
"USREP-ReEDS","All-Adv","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",294.1613104,"2.6.power_sensitivities_BW"
"USREP-ReEDS","Constr","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",763.7320001,"2.6.power_sensitivities_BW"
"USREP-ReEDS","Constr","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",664.7557448,"2.6.power_sensitivities_BW"
"USREP-ReEDS","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",616.834498,"2.6.power_sensitivities_BW"
"USREP-ReEDS","Mod","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",488.0122266,"2.6.power_sensitivities_BW"
"NEMS-OP","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",660.642334,"2.6.power_sensitivities_BW"
"NEMS-OP","Mod","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",417.400726,"2.6.power_sensitivities_BW"
"NEMS-OP","Opt-Adv","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",429.341614,"2.6.power_sensitivities_BW"
"NEMS-OP","Opt-Adv","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",274.357727,"2.6.power_sensitivities_BW"
"USREP-ReEDS","Mod","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",616.834498,"2.6.power_sensitivities_BW"
"USREP-ReEDS","Mod","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",488.0122266,"2.6.power_sensitivities_BW"
"USREP-ReEDS","Opt-Adv","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",394.8322234,"2.6.power_sensitivities_BW"
"USREP-ReEDS","Opt-Adv","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",276.5247851,"2.6.power_sensitivities_BW"
"USREP-ReEDS","Pess-Adv","Mt CO2/yr",2030,"Emissions|CO2|Energy|Supply|Electricity","United States",484.0228703,"2.6.power_sensitivities_BW"
"USREP-ReEDS","Pess-Adv","Mt CO2/yr",2035,"Emissions|CO2|Energy|Supply|Electricity","United States",352.3706364,"2.6.power_sensitivities_BW"
