"model","year","variable_rename","metric","value"
"IPM-EPA",2035,"Coal w/ CCS","value_ira",75.2380545258895
"IPM-EPA",2035,"Coal w/ CCS","diff",71.4513570947039
"IPM-EPA",2035,"Coal w/o CCS","value_ira",44.3796597235607
"IPM-EPA",2035,"Coal w/o CCS","diff",-421.515481661683
"IPM-EPA",2035,"Gas w/ CCS","value_ira",77.1585762228572
"IPM-EPA",2035,"Gas w/ CCS","diff",52.7562148000282
"IPM-EPA",2035,"Gas w/o CCS","value_ira",1341.45619292491
"IPM-EPA",2035,"Gas w/o CCS","diff",-541.348034530331
"IPM-EPA",2035,"Hydro","value_ira",328.647411711989
"IPM-EPA",2035,"Hydro","diff",4.14125741537367
"IPM-EPA",2035,"Nuclear","value_ira",660.335219058433
"IPM-EPA",2035,"Nuclear","diff",173.822865098408
"IPM-EPA",2035,"Solar","value_ira",773.930125991563
"IPM-EPA",2035,"Solar","diff",112.907552127148
"IPM-EPA",2035,"Wind","value_ira",1500.27211382799
"IPM-EPA",2035,"Wind","diff",580.827540547069
"IPM-NRDC",2030,"Biomass w/o CCS","value_ira",40.3484239318895
"IPM-NRDC",2030,"Biomass w/o CCS","diff",-1.43132442261868
"IPM-NRDC",2030,"Coal w/ CCS","value_ira",135.279879109004
"IPM-NRDC",2030,"Coal w/ CCS","diff",118.312566992037
"IPM-NRDC",2030,"Coal w/o CCS","value_ira",198.300770434405
"IPM-NRDC",2030,"Coal w/o CCS","diff",-163.451715218571
"IPM-NRDC",2030,"Gas w/o CCS","value_ira",1649.93089764377
"IPM-NRDC",2030,"Gas w/o CCS","diff",-291.629204290399
"IPM-NRDC",2030,"Hydro","value_ira",319.548791900978
"IPM-NRDC",2030,"Hydro","diff",6.39032984413319
"IPM-NRDC",2030,"Nuclear","value_ira",677.937218043876
"IPM-NRDC",2030,"Nuclear","diff",168.404643527639
"IPM-NRDC",2030,"Solar","value_ira",369.653587095721
"IPM-NRDC",2030,"Solar","diff",36.6037162977642
"IPM-NRDC",2030,"Wind","value_ira",890.310027894877
"IPM-NRDC",2030,"Wind","diff",124.524251452073
"IPM-NRDC",2035,"Biomass w/o CCS","value_ira",40.3418684947501
"IPM-NRDC",2035,"Biomass w/o CCS","diff",-2.11312599557984
"IPM-NRDC",2035,"Coal w/ CCS","value_ira",135.279879109004
"IPM-NRDC",2035,"Coal w/ CCS","diff",118.312566992037
"IPM-NRDC",2035,"Coal w/o CCS","value_ira",143.308880185839
"IPM-NRDC",2035,"Coal w/o CCS","diff",-190.285576052612
"IPM-NRDC",2035,"Gas w/o CCS","value_ira",1653.96847776528
"IPM-NRDC",2035,"Gas w/o CCS","diff",-403.570554981928
"IPM-NRDC",2035,"Hydro","value_ira",316.090086878336
"IPM-NRDC",2035,"Hydro","diff",5.44762742847723
"IPM-NRDC",2035,"Nuclear","value_ira",75.8055703855072
"IPM-NRDC",2035,"Nuclear","diff",7.96085258563441
"IPM-NRDC",2035,"Solar","value_ira",683.148521963476
"IPM-NRDC",2035,"Solar","diff",109.061278827685
"IPM-NRDC",2035,"Wind","value_ira",1368.21605537342
"IPM-NRDC",2035,"Wind","diff",376.549688359256
"MARKAL-NETL",2030,"Biomass w/o CCS","value_ira",25.6940008686893
"MARKAL-NETL",2030,"Biomass w/o CCS","diff",15.0469623613375
"MARKAL-NETL",2030,"Coal w/ CCS","value_ira",133.797690049638
"MARKAL-NETL",2030,"Coal w/ CCS","diff",133.797690049638
"MARKAL-NETL",2030,"Coal w/o CCS","value_ira",514.774446494773
"MARKAL-NETL",2030,"Coal w/o CCS","diff",-154.863993123249
"MARKAL-NETL",2030,"Gas w/ CCS","value_ira",96.9705480655687
"MARKAL-NETL",2030,"Gas w/ CCS","diff",96.9705480655687
"MARKAL-NETL",2030,"Gas w/o CCS","value_ira",2021.25954975923
"MARKAL-NETL",2030,"Gas w/o CCS","diff",129.650539407385
"MARKAL-NETL",2030,"Hydro","value_ira",286.486720794307
"MARKAL-NETL",2030,"Hydro","diff",0
"MARKAL-NETL",2030,"Nuclear","value_ira",797.502898788805
"MARKAL-NETL",2030,"Nuclear","diff",0
"MARKAL-NETL",2030,"Solar","value_ira",476.152890813524
"MARKAL-NETL",2030,"Solar","diff",-40.3687477314312
"MARKAL-NETL",2030,"Wind","value_ira",602.147937919661
"MARKAL-NETL",2030,"Wind","diff",-47.9380612786375
"MARKAL-NETL",2035,"Biomass w/o CCS","value_ira",9.02206647163385
"MARKAL-NETL",2035,"Biomass w/o CCS","diff",-1.7916356918055
"MARKAL-NETL",2035,"Coal w/ CCS","value_ira",1285.9333556006
"MARKAL-NETL",2035,"Coal w/ CCS","diff",1285.9333556006
"MARKAL-NETL",2035,"Coal w/o CCS","value_ira",203.288157009915
"MARKAL-NETL",2035,"Coal w/o CCS","diff",-481.063917379497
"MARKAL-NETL",2035,"Gas w/ CCS","value_ira",96.9705480655687
"MARKAL-NETL",2035,"Gas w/ CCS","diff",96.9705480655687
"MARKAL-NETL",2035,"Gas w/o CCS","value_ira",1427.12258463095
"MARKAL-NETL",2035,"Gas w/o CCS","diff",-591.339791211424
"MARKAL-NETL",2035,"Hydro","value_ira",286.486720794307
"MARKAL-NETL",2035,"Hydro","diff",0
"MARKAL-NETL",2035,"Nuclear","value_ira",797.502898788805
"MARKAL-NETL",2035,"Nuclear","diff",0
"MARKAL-NETL",2035,"Solar","value_ira",497.796961783785
"MARKAL-NETL",2035,"Solar","diff",-40.3687474536583
"MARKAL-NETL",2035,"Wind","value_ira",602.147937919661
"MARKAL-NETL",2035,"Wind","diff",-64.696105509111
"NEMS-EIA",2030,"Biomass w/ CCS","value_ira",0.0927223250823997
"NEMS-EIA",2030,"Biomass w/ CCS","diff",0.0927223250823997
"NEMS-EIA",2030,"Biomass w/o CCS","value_ira",38.4960586148696
"NEMS-EIA",2030,"Biomass w/o CCS","diff",-0.401058755354576
"NEMS-EIA",2030,"Coal w/ CCS","value_ira",2.15357100061204
"NEMS-EIA",2030,"Coal w/ CCS","diff",2.15357100061204
"NEMS-EIA",2030,"Coal w/o CCS","value_ira",350.491151895397
"NEMS-EIA",2030,"Coal w/o CCS","diff",-260.647527617299
"NEMS-EIA",2030,"Gas w/ CCS","value_ira",0.667223947399595
"NEMS-EIA",2030,"Gas w/ CCS","diff",0.667223947399595
"NEMS-EIA",2030,"Gas w/o CCS","value_ira",1152.99907045459
"NEMS-EIA",2030,"Gas w/o CCS","diff",-417.53054281149
"NEMS-EIA",2030,"Geothermal","value_ira",20.9234480430047
"NEMS-EIA",2030,"Geothermal","diff",-4.07339741896088
"NEMS-EIA",2030,"Hydro","value_ira",295.679411906034
"NEMS-EIA",2030,"Hydro","diff",-4.85831124043403
"NEMS-EIA",2030,"Nuclear","value_ira",758.002909586515
"NEMS-EIA",2030,"Nuclear","diff",-7.52049315131069
"NEMS-EIA",2030,"Oil","value_ira",7.46601113546286
"NEMS-EIA",2030,"Oil","diff",-1.07150064462591
"NEMS-EIA",2030,"Solar","value_ira",921.119469081494
"NEMS-EIA",2030,"Solar","diff",351.649103880673
"NEMS-EIA",2030,"Wind","value_ira",978.425257921146
"NEMS-EIA",2030,"Wind","diff",381.567997431743
"NEMS-EIA",2035,"Biomass w/ CCS","value_ira",0.125988724164797
"NEMS-EIA",2035,"Biomass w/ CCS","diff",0.125988724164797
"NEMS-EIA",2035,"Biomass w/o CCS","value_ira",39.5266459985445
"NEMS-EIA",2035,"Biomass w/o CCS","diff",-0.438994070098609
"NEMS-EIA",2035,"Coal w/ CCS","value_ira",3.37783771047306
"NEMS-EIA",2035,"Coal w/ CCS","diff",3.37783771047306
"NEMS-EIA",2035,"Coal w/o CCS","value_ira",343.14352079677
"NEMS-EIA",2035,"Coal w/o CCS","diff",-231.426300288496
"NEMS-EIA",2035,"Gas w/ CCS","value_ira",0.317634262317992
"NEMS-EIA",2035,"Gas w/ CCS","diff",0.317634262317992
"NEMS-EIA",2035,"Gas w/o CCS","value_ira",1038.63747525965
"NEMS-EIA",2035,"Gas w/o CCS","diff",-461.102401738115
"NEMS-EIA",2035,"Geothermal","value_ira",23.8110708815613
"NEMS-EIA",2035,"Geothermal","diff",-7.48865472643355
"NEMS-EIA",2035,"Hydro","value_ira",291.730265242632
"NEMS-EIA",2035,"Hydro","diff",-7.25456795493028
"NEMS-EIA",2035,"Nuclear","value_ira",700.337813237323
"NEMS-EIA",2035,"Nuclear","diff",-46.8472977597502
"NEMS-EIA",2035,"Oil","value_ira",7.09295487427681
"NEMS-EIA",2035,"Oil","diff",-0.937706061464596
"NEMS-EIA",2035,"Solar","value_ira",1150.40072839052
"NEMS-EIA",2035,"Solar","diff",345.966834524054
"NEMS-EIA",2035,"Wind","value_ira",1135.01855925096
"NEMS-EIA",2035,"Wind","diff",463.079647021551
"NEMS-OP",2030,"Biomass w/ CCS","value_ira",0.24375559684748
"NEMS-OP",2030,"Biomass w/ CCS","diff",0.24375559684748
"NEMS-OP",2030,"Biomass w/o CCS","value_ira",37.5928339305403
"NEMS-OP",2030,"Biomass w/o CCS","diff",0.171294905762963
"NEMS-OP",2030,"Coal w/ CCS","value_ira",4.19446732983699
"NEMS-OP",2030,"Coal w/ CCS","diff",4.19446732983699
"NEMS-OP",2030,"Coal w/o CCS","value_ira",295.84247086271
"NEMS-OP",2030,"Coal w/o CCS","diff",-243.436117716346
"NEMS-OP",2030,"Gas w/ CCS","value_ira",9.49862541872356
"NEMS-OP",2030,"Gas w/ CCS","diff",9.49862541872356
"NEMS-OP",2030,"Gas w/o CCS","value_ira",1038.74196037225
"NEMS-OP",2030,"Gas w/o CCS","diff",-417.623822126512
"NEMS-OP",2030,"Geothermal","value_ira",23.4426115373374
"NEMS-OP",2030,"Geothermal","diff",1.68660353352992
"NEMS-OP",2030,"Hydro","value_ira",295.260077480807
"NEMS-OP",2030,"Hydro","diff",-3.67254165993944
"NEMS-OP",2030,"Nuclear","value_ira",776.563975303123
"NEMS-OP",2030,"Nuclear","diff",111.750056369254
"NEMS-OP",2030,"Oil","value_ira",7.14204198757698
"NEMS-OP",2030,"Oil","diff",-0.967278527273468
"NEMS-OP",2030,"Solar","value_ira",1166.27531963507
"NEMS-OP",2030,"Solar","diff",390.294951789779
"NEMS-OP",2030,"Wind","value_ira",970.669356022212
"NEMS-OP",2030,"Wind","diff",295.236488906907
"NEMS-OP",2035,"Biomass w/ CCS","value_ira",0.113108956822347
"NEMS-OP",2035,"Biomass w/ CCS","diff",0.113108956822347
"NEMS-OP",2035,"Biomass w/o CCS","value_ira",36.3188879428467
"NEMS-OP",2035,"Biomass w/o CCS","diff",-0.0485661227112359
"NEMS-OP",2035,"Coal w/ CCS","value_ira",3.13955441958775
"NEMS-OP",2035,"Coal w/ CCS","diff",3.13955441958775
"NEMS-OP",2035,"Coal w/o CCS","value_ira",139.704835267827
"NEMS-OP",2035,"Coal w/o CCS","diff",-333.553156894126
"NEMS-OP",2035,"Gas w/ CCS","value_ira",7.39288845633636
"NEMS-OP",2035,"Gas w/ CCS","diff",7.39288845633636
"NEMS-OP",2035,"Gas w/o CCS","value_ira",774.966453160445
"NEMS-OP",2035,"Gas w/o CCS","diff",-652.401074157023
"NEMS-OP",2035,"Geothermal","value_ira",28.2302520543533
"NEMS-OP",2035,"Geothermal","diff",2.2853037187291
"NEMS-OP",2035,"Hydro","value_ira",288.770082714779
"NEMS-OP",2035,"Hydro","diff",-3.95885148809572
"NEMS-OP",2035,"Nuclear","value_ira",694.578151278708
"NEMS-OP",2035,"Nuclear","diff",96.8998606202305
"NEMS-OP",2035,"Oil","value_ira",6.3282716873615
"NEMS-OP",2035,"Oil","diff",-1.20660720408795
"NEMS-OP",2035,"Solar","value_ira",1757.13366448769
"NEMS-OP",2035,"Solar","diff",673.70816726994
"NEMS-OP",2035,"Wind","value_ira",1239.49164806991
"NEMS-OP",2035,"Wind","diff",464.986290580321
"NEMS-RHG",2030,"Biomass w/o CCS","value_ira",60.583221747868
"NEMS-RHG",2030,"Biomass w/o CCS","diff",3.70141424950182
"NEMS-RHG",2030,"Coal w/o CCS","value_ira",137.585572737191
"NEMS-RHG",2030,"Coal w/o CCS","diff",-347.614524649397
"NEMS-RHG",2030,"Gas w/o CCS","value_ira",821.172534558555
"NEMS-RHG",2030,"Gas w/o CCS","diff",-438.66734600049
"NEMS-RHG",2030,"Hydro","value_ira",285.105719907099
"NEMS-RHG",2030,"Hydro","diff",-11.5672960506695
"NEMS-RHG",2030,"Nuclear","value_ira",754.850317589864
"NEMS-RHG",2030,"Nuclear","diff",75.7403929517483
"NEMS-RHG",2030,"Solar","value_ira",1004.13162351093
"NEMS-RHG",2030,"Solar","diff",299.944286866182
"NEMS-RHG",2030,"Wind","value_ira",1232.70884259315
"NEMS-RHG",2030,"Wind","diff",453.127374797412
"NEMS-RHG",2035,"Biomass w/o CCS","value_ira",70.4785968886725
"NEMS-RHG",2035,"Biomass w/o CCS","diff",4.85188346765516
"NEMS-RHG",2035,"Coal w/o CCS","value_ira",204.839622873434
"NEMS-RHG",2035,"Coal w/o CCS","diff",-241.504029463789
"NEMS-RHG",2035,"Gas w/o CCS","value_ira",947.131735089994
"NEMS-RHG",2035,"Gas w/o CCS","diff",-237.738463595332
"NEMS-RHG",2035,"Hydro","value_ira",259.537059829834
"NEMS-RHG",2035,"Hydro","diff",-33.662111934319
"NEMS-RHG",2035,"Nuclear","value_ira",186.504077138633
