"figure_num","model","scenario","variable","unit","year","value"
"E.22.elec_share_buildings","RIO-REPEAT","No IRA","Buildings","% Electricity of Final Energy",2025,48.04
"E.22.elec_share_buildings","RIO-REPEAT","No IRA","Buildings","% Electricity of Final Energy",2030,49.13
"E.22.elec_share_buildings","RIO-REPEAT","No IRA","Buildings","% Electricity of Final Energy",2035,50.41
"E.22.elec_share_buildings","EPS-EI","IRA","Buildings","% Electricity of Final Energy",2020,47
"E.22.elec_share_buildings","GCAM-CGS","IRA","Buildings","% Electricity of Final Energy",2020,47
"E.22.elec_share_buildings","NEMS-RHG","IRA","Buildings","% Electricity of Final Energy",2020,47
"E.22.elec_share_buildings","RIO-REPEAT","IRA","Buildings","% Electricity of Final Energy",2020,47
"E.22.elec_share_buildings","GCAM-PNNL","IRA","Buildings","% Electricity of Final Energy",2020,47
"E.22.elec_share_buildings","OP-NEMS","IRA","Buildings","% Electricity of Final Energy",2020,47
"E.22.elec_share_buildings","USREP-ReEDS","IRA","Buildings","% Electricity of Final Energy",2020,47
"E.22.elec_share_buildings","GCAM-PNNL","No IRA","Buildings","% Electricity of Final Energy",2020,47
"E.22.elec_share_buildings","OP-NEMS","No IRA","Buildings","% Electricity of Final Energy",2020,47
"E.22.elec_share_buildings","USREP-ReEDS","No IRA","Buildings","% Electricity of Final Energy",2020,47
"E.22.elec_share_buildings","EPS-EI","No IRA","Buildings","% Electricity of Final Energy",2020,47
"E.22.elec_share_buildings","GCAM-CGS","No IRA","Buildings","% Electricity of Final Energy",2020,47
"E.22.elec_share_buildings","NEMS-RHG","No IRA","Buildings","% Electricity of Final Energy",2020,47
"E.22.elec_share_buildings","RIO-REPEAT","No IRA","Buildings","% Electricity of Final Energy",2020,47
"E.22.elec_share_buildings","EPS-EI","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
"E.22.elec_share_buildings","EPS-EI","% Difference","Economy-Wide","Absolute Difference from No IRA",2025,0.863340799999996
"E.22.elec_share_buildings","EPS-EI","% Difference","Economy-Wide","Absolute Difference from No IRA",2030,1.9172009
"E.22.elec_share_buildings","EPS-EI","% Difference","Economy-Wide","Absolute Difference from No IRA",2035,2.14090080000001
"E.22.elec_share_buildings","GCAM-CGS","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
"E.22.elec_share_buildings","GCAM-CGS","% Difference","Economy-Wide","Absolute Difference from No IRA",2025,1.69999999999999
"E.22.elec_share_buildings","GCAM-CGS","% Difference","Economy-Wide","Absolute Difference from No IRA",2030,3.6
"E.22.elec_share_buildings","GCAM-CGS","% Difference","Economy-Wide","Absolute Difference from No IRA",2035,2.6
"E.22.elec_share_buildings","GCAM-PNNL","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
"E.22.elec_share_buildings","GCAM-PNNL","% Difference","Economy-Wide","Absolute Difference from No IRA",2025,0.992396236965703
"E.22.elec_share_buildings","GCAM-PNNL","% Difference","Economy-Wide","Absolute Difference from No IRA",2030,-1.43418665191641
"E.22.elec_share_buildings","GCAM-PNNL","% Difference","Economy-Wide","Absolute Difference from No IRA",2035,-1.8168285242242
"E.22.elec_share_buildings","NEMS-RHG","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
