"scenario","year","variable_rename","value","figure_num"
"IRA-Core",2035,"Reference",1273.68020161675,4.3
"IRA-Core",2035,"Total",1012.04422822309,4.3
"IRA-Core",2035,"Power",120.777612799761,4.3
"IRA-Core",2035,"Other",28.9579695575553,4.3
"IRA-Core",2035,"WaterHeating",16.1400306243741,4.3
"IRA-Core",2035,"HVAC",95.7603604119707,4.3
"IRA-Optimistic",2025,"Reference",1437.92303775355,4.3
"IRA-Optimistic",2025,"Total",1353.93378926959,4.3
"IRA-Optimistic",2025,"Power",37.5448320869524,4.3
"IRA-Optimistic",2025,"Other",9.94994895011945,4.3
"IRA-Optimistic",2025,"WaterHeating",3.67907775298295,4.3
"IRA-Optimistic",2025,"HVAC",32.8153896939015,4.3
"IRA-Optimistic",2026,"Reference",1405.88117863662,4.3
"IRA-Optimistic",2026,"Total",1307.93667661357,4.3
"IRA-Optimistic",2026,"Power",35.8451231201395,4.3
"IRA-Optimistic",2026,"Other",12.9300393913926,4.3
"IRA-Optimistic",2026,"WaterHeating",5.32731426367588,4.3
"IRA-Optimistic",2026,"HVAC",43.8420252478344,4.3
"IRA-Optimistic",2027,"Reference",1376.58154456118,4.3
"IRA-Optimistic",2027,"Total",1264.4516141771,4.3
"IRA-Optimistic",2027,"Power",34.0744754026945,4.3
"IRA-Optimistic",2027,"Other",15.6866213678169,4.3
"IRA-Optimistic",2027,"WaterHeating",7.17932948308947,4.3
"IRA-Optimistic",2027,"HVAC",55.1895041304824,4.3
"IRA-Optimistic",2028,"Reference",1347.33616824025,4.3
"IRA-Optimistic",2028,"Total",1221.45754183686,4.3
"IRA-Optimistic",2028,"Power",32.5459955520303,4.3
"IRA-Optimistic",2028,"Other",17.2725902771658,4.3
"IRA-Optimistic",2028,"WaterHeating",9.2390370514867,4.3
"IRA-Optimistic",2028,"HVAC",66.8210035227002,4.3
"IRA-Optimistic",2029,"Reference",1319.06600253361,4.3
"IRA-Optimistic",2029,"Total",1181.37393556459,4.3
"IRA-Optimistic",2029,"Power",30.9673665938061,4.3
"IRA-Optimistic",2029,"Other",16.9697549711981,4.3
"IRA-Optimistic",2029,"WaterHeating",11.5057057202124,4.3
"IRA-Optimistic",2029,"HVAC",78.2492396838054,4.3
"IRA-Optimistic",2030,"Reference",1289.06707593505,4.3
"IRA-Optimistic",2030,"Total",1132.45930049573,4.3
"IRA-Optimistic",2030,"Power",29.3229519819009,4.3
"IRA-Optimistic",2030,"Other",20.2863693853822,4.3
"IRA-Optimistic",2030,"WaterHeating",16.1516004872273,4.3
"IRA-Optimistic",2030,"HVAC",90.8468535848051,4.3
"IRA-Optimistic",2031,"Reference",1284.4376126867,4.3
"IRA-Optimistic",2031,"Total",1088.69400885866,4.3
"IRA-Optimistic",2031,"Power",46.8914528450453,4.3
"IRA-Optimistic",2031,"Other",22.7877800869409,4.3
"IRA-Optimistic",2031,"WaterHeating",20.8423674436148,4.3
"IRA-Optimistic",2031,"HVAC",105.222003452434,4.3
"IRA-Optimistic",2032,"Reference",1282.04755396044,4.3
"IRA-Optimistic",2032,"Total",1047.83259160062,4.3
"IRA-Optimistic",2032,"Power",64.7647768281791,4.3
"IRA-Optimistic",2032,"Other",24.9771424780787,4.3
"IRA-Optimistic",2032,"WaterHeating",24.8609044132681,4.3
"IRA-Optimistic",2032,"HVAC",119.612138640296,4.3
"IRA-Optimistic",2033,"Reference",1279.38627125105,4.3
"IRA-Optimistic",2033,"Total",1005.78986986476,4.3
"IRA-Optimistic",2033,"Power",82.0578469003246,4.3
"IRA-Optimistic",2033,"Other",27.2958865363455,4.3
"IRA-Optimistic",2033,"WaterHeating",29.3358834427491,4.3
"IRA-Optimistic",2033,"HVAC",134.906784506869,4.3
"IRA-Optimistic",2034,"Reference",1276.44934882063,4.3
"IRA-Optimistic",2034,"Total",966.613019278872,4.3
"IRA-Optimistic",2034,"Power",100.070498260263,4.3
"IRA-Optimistic",2034,"Other",28.1526110488384,4.3
"IRA-Optimistic",2034,"WaterHeating",33.1472323425691,4.3
"IRA-Optimistic",2034,"HVAC",148.465987890087,4.3
"IRA-Optimistic",2035,"Reference",1273.68020161675,4.3
"IRA-Optimistic",2035,"Total",926.796260603269,4.3
"IRA-Optimistic",2035,"Power",117.66871387892,4.3
"IRA-Optimistic",2035,"Other",29.9979820077948,4.3
"IRA-Optimistic",2035,"WaterHeating",34.4747742677602,4.3
"IRA-Optimistic",2035,"HVAC",164.742470859006,4.3
