"model","scenario","year","value","variable","label","figure_num"
"NEMS-RHG","IRA",2020,0.14366747608161,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","IRA",2020,0.14366747608161,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","IRA",2020,0.14366747608161,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"OP-NEMS","IRA",2020,0.14366747608161,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2020,0.14366747608161,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2020,0.14366747608161,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"OP-NEMS","No IRA",2020,0.14366747608161,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2020,0.14366747608161,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2020,0.14366747608161,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-CGS","No IRA",2020,0.14366747608161,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2020,0.14366747608161,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2020,0.14366747608161,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"EPS-EI","IRA",2025,1.1502633,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"EPS-EI","IRA",2030,4.2992752,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"EPS-EI","IRA",2035,8.2930353,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-CGS","IRA",2025,1.4,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-CGS","IRA",2030,4.4,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-CGS","IRA",2035,4.9,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"NEMS-RHG","IRA",2025,0.4431455,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"NEMS-RHG","IRA",2030,1.7463193,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"NEMS-RHG","IRA",2035,4.1249706,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","IRA",2025,1.19,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","IRA",2030,5.76,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","IRA",2035,15.07,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","IRA",2025,1.6397128702007,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","IRA",2030,6.19681685752509,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","IRA",2035,11.8983393196971,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"OP-NEMS","IRA",2025,0.593203799687685,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"OP-NEMS","IRA",2030,3.22803347793364,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"OP-NEMS","IRA",2035,6.98140598634755,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2025,0.475475773036775,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2030,2.12776684954314,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2035,4.79310028802458,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2025,0.857914923154445,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2030,2.93866559141966,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2035,7.24344658191718,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
