"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales"
"EIA","Historic","Quads",2008,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",0.12727008242424,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2008,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",6.77571271886376,"stackbar",14,"Hist Generation Mix",0,"Coal","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2008,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",3.01280044223592,"stackbar",14,"Hist Generation Mix",0,"Natural Gas","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2008,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Geothermal","United States",0.05063518872216,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2008,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Hydro","United States",0.8695050721308,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2008,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Nuclear","United States",2.7508476768948,"stackbar",14,"Hist Generation Mix",0,"Nuclear","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2008,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Oil|w/o CCS","United States",0.15778349155296,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2008,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Other","United States",0.1004538018708,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2008,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Solar","United States",0.0029491119252,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2008,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Wind","United States",0.188903326248,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
