model,scenario,region,variable,notes,ghgi-table,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,,,Emissions|GHG|Energy|Demand|Buildings|Residential|Total,new var,ES-6,,957.80,975.60,972.10,1024.40,1014.90,1028.10,1090.50,1078.80,1082.20,1103.50,1167.60,1158.20,1185.40,1215.00,1213.10,1247.50,1184.90,1238.50,1226.20,1160.10,1215.50,1158.40,1049.40,1110.60,1130.70,1052.30,998.00,962.30,1034.90,982.00,918.30,953.80
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Buildings|Total,sum of commercial and residential total,ES-6,Mt CO2e/yr,1960.20,1985.40,1976.40,2046.80,2050.50,2076.80,2168.10,2188.10,2200.30,2226.10,2351.60,2345.50,2372.20,2418.50,2433.90,2488.50,2407.80,2504.70,2486.20,2360.30,2437.90,2339.80,2173.50,2262.50,2294.30,2184.70,2084.80,2022.70,2109.40,2011.70,1848.80,1926.00
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Industry,,ES-5,Mt CO2e/yr,1677.30,1651.40,1687.70,1657.10,1683.90,1703.30,1733.70,1735.30,1706.10,1657.20,1649.80,1604.60,1585.10,1565.50,1615.90,1574.40,1611.10,1600.70,1547.50,1394.80,1488.60,1494.90,1485.50,1544.40,1530.60,1518.10,1463.10,1494.50,1558.00,1568.20,1465.40,1487.30
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Industry|Indirect,total - direct,ES-6,Mt CO2e/yr,673.80,661.40,686.10,693.90,707.20,698.60,717.00,732.80,746.90,748.90,765.90,712.40,696.20,720.40,720.70,715.50,690.40,686.30,672.10,576.30,615.80,598.50,564.20,567.70,564.30,523.00,492.80,479.40,475.20,443.00,387.50,421.90
,,,Emissions|GHG|Energy|Demand|Industry|Total,new var,ES-6,,2351.10,2312.80,2373.80,2351.00,2391.10,2401.90,2450.70,2468.10,2453.00,2406.10,2415.70,2317.00,2281.30,2285.90,2336.60,2289.90,2301.50,2287.00,2219.60,1971.10,2104.40,2093.40,2049.70,2112.10,2094.90,2041.10,1955.90,1973.90,2033.20,2011.20,1852.90,1909.20
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Transportation,,ES-5,Mt CO2e/yr,1521.40,1474.80,1533.80,1570.20,1624.60,1659.20,1714.60,1740.50,1782.70,1853.70,1903.80,1875.50,1916.30,1923.80,1956.30,1966.00,1966.40,1967.20,1863.50,1789.10,1795.20,1762.30,1743.50,1746.60,1780.80,1789.10,1824.10,1841.60,1871.30,1874.30,1624.90,1804.30
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Demand|Transportation|Indirect,total - direct,ES-6,Mt CO2e/yr,3.20,3.10,3.00,3.20,3.20,3.10,3.20,3.20,3.30,3.30,3.50,3.70,3.50,4.30,4.60,4.90,4.70,5.20,4.80,4.60,4.60,4.40,4.00,4.40,4.50,4.40,4.30,4.40,4.90,4.90,4.30,5.20
,,,Emissions|GHG|Energy|Demand|Transportation|Total,new var,ES-6,,1524.60,1477.90,1536.80,1573.40,1627.80,1662.30,1717.80,1743.70,1786.00,1857.00,1907.30,1879.20,1919.80,1928.10,1960.90,1970.90,1971.10,1972.40,1868.30,1793.70,1799.80,1766.70,1747.50,1751.00,1785.30,1793.50,1828.40,1846.00,1876.20,1879.20,1629.20,1809.50
EPA-GHGI,Historic,United States,Emissions|GHG|Energy|Supply|Electricity,new var,ES-5,Mt CO2e/yr,1879.70,1874.00,1889.20,1964.60,1989.10,2005.60,2078.00,2143.30,2229.60,2243.00,2349.60,2310.30,2326.00,2357.50,2390.60,2456.90,2401.90,2467.90,2414.90,2198.30,2312.80,2210.00,2072.40,2090.70,2090.90,1951.50,1859.20,1779.20,1799.10,1650.50,1481.80,1584.10
EPA-GHGI,Historic,United States,Emissions|GHG|Industrial Processes,new var,ES-3,Mt CO2e/yr,335.40,317.30,322.80,322.20,333.90,362.30,374.10,379.70,386.10,382.40,381.00,345.90,354.00,342.10,355.20,356.10,365.30,381.70,360.20,312.90,352.00,367.00,357.20,357.20,368.70,363.90,357.60,359.10,362.20,366.80,363.20,376.40
EPA-GHGI,Historic,United States,Emissions|GHG|Net,new var,ES-2,Mt CO2e/yr,5606.40,5531.20,5652.40,5776.40,5871.60,5973.10,6157.20,6229.40,6274.60,6328.90,6533.40,6411.00,6496.70,6524.60,6754.80,6696.30,6589.50,6737.30,6531.10,6120.30,6307.20,6116.00,5884.90,6092.40,6129.70,6065.50,5763.10,5787.60,5989.70,5913.90,5249.80,5586.00
