Table 4-1:  Emissions from Industrial Processes and Product Use (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,Electrical Transmission and Distribution,24.7,23.6,23.6,22.8,21.5,19.8,18.1,16.6,14.1,14.5,14,13.7,13,12.5,12.2,11.8,11,10.2,10.2,9,7.8,7.1,6.1,5.9,6.1,5.3,5.6,5.5,5.2,6.1,5.9,6
,Magnesium Production and Processing,5.4,5.1,5.4,5.5,5.3,5.5,6.5,6.2,5.6,5,3,2.9,2.9,3.4,2.8,2.9,2.9,2.6,1.9,1.1,1.3,1.8,1.5,1.3,1,1,1.2,1,1.1,0.9,0.9,1.1
,Electronics Industry,0.5,0.5,0.5,0.6,0.7,0.9,1,1,1.3,1.3,1,0.7,0.6,0.8,0.7,0.8,0.8,0.6,0.6,0.4,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.7,0.8,0.8,0.8,0.9
,NF3,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.5,0.5,0.5,0.4,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6
,Electronics Industry,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.5,0.5,0.5,0.4,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6
,Totalb,335.4,317.3,322.8,322.2,333.9,362.3,374.1,379.7,386.1,382.4,381,345.9,354,342.1,355.2,356.1,365.3,381.7,360.2,312.9,352,367,357.2,357.2,368.7,363.9,357.6,359.1,362.2,366.8,363.2,376.4
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Small amounts of PFC emissions also result from this source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b Total does not include other fluorinated gases, such as HFEs and PFPEs, which are reported separately in Section 4.23. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Note: Totals may not sum due to independent rounding. Emissions of F-HTFs that are not HFCs, PFCs or SF6 are not included in inventory totals and are included for informational purposes only in Section 4.23. Emissions presented for informational purposes include HFEs, PFPMIEs, perfluoroalkylmorpholines, and perfluorotrialkylamines.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
